year,season,area,ess,age,length
2006,4,1,0.693697684,11,102
2006,4,1,0.693697684,14,106
2006,4,1,0.693697684,11,112
2006,4,1,0.693697684,22,136
2011,3,1,0.693697684,9,92
2014,3,1,0.693697684,11,116
2016,4,1,0.693697684,13,118
2019,1,1,0.693697684,6,70
2019,1,1,0.693697684,7,70
2019,1,1,0.693697684,7,70
2019,1,1,0.693697684,6,76
2019,1,1,0.693697684,11,92
2019,1,1,0.693697684,9,94
2019,1,1,0.693697684,11,94
2019,1,1,0.693697684,11,94
2019,1,1,0.693697684,10,98
2019,1,1,0.693697684,11,98
2019,1,1,0.693697684,10,104
2019,1,1,0.693697684,15,120
2019,1,1,0.693697684,17,126
2019,1,1,0.693697684,22,146
2019,2,1,0.693697684,8,76
2019,2,1,0.693697684,8,80
2019,2,1,0.693697684,6,82
2019,2,1,0.693697684,10,100
2019,2,1,0.693697684,13,106
2019,2,1,0.693697684,12,108
2019,2,1,0.693697684,40,162
2019,4,1,0.693697684,10,92
2019,4,1,0.693697684,13,110
2019,4,1,0.693697684,14,120
2020,1,1,0.693697684,12,98
2020,1,1,0.693697684,25,158
2020,2,1,0.693697684,7,74
2020,2,1,0.693697684,7,82
2020,2,1,0.693697684,8,92
2020,2,1,0.693697684,8,94
2020,2,1,0.693697684,9,96
2020,2,1,0.693697684,9,98
2020,2,1,0.693697684,9,98
2020,2,1,0.693697684,11,98
2020,2,1,0.693697684,13,98
2020,2,1,0.693697684,10,102
2020,2,1,0.693697684,11,102
2020,2,1,0.693697684,12,102
2020,2,1,0.693697684,12,102
2020,2,1,0.693697684,12,102
2020,2,1,0.693697684,11,104
2020,2,1,0.693697684,12,104
2020,2,1,0.693697684,11,106
2020,2,1,0.693697684,12,106
2020,2,1,0.693697684,12,108
2020,2,1,0.693697684,15,118
2020,2,1,0.693697684,15,124
2020,2,1,0.693697684,16,128
2020,2,1,0.693697684,18,134
2020,2,1,0.693697684,40,158
2020,4,1,0.693697684,5,60
2020,4,1,0.693697684,7,72
2020,4,1,0.693697684,10,88
2020,4,1,0.693697684,9,90
2020,4,1,0.693697684,9,90
2020,4,1,0.693697684,11,98
2020,4,1,0.693697684,10,102
2020,4,1,0.693697684,10,102
2020,4,1,0.693697684,11,102
2020,4,1,0.693697684,11,102
2020,4,1,0.693697684,11,104
2020,4,1,0.693697684,9,106
2020,4,1,0.693697684,9,106
2020,4,1,0.693697684,11,106
2020,4,1,0.693697684,11,106
2020,4,1,0.693697684,11,110
2020,4,1,0.693697684,19,116
2020,4,1,0.693697684,15,120
2020,4,1,0.693697684,15,124
2020,4,1,0.693697684,20,138
2020,4,1,0.693697684,23,144
2021,1,1,0.693697684,7,72
2021,1,1,0.693697684,11,96
2021,1,1,0.693697684,11,104
2021,2,1,0.693697684,4,62
2021,2,1,0.693697684,5,64
2021,2,1,0.693697684,6,64
2021,2,1,0.693697684,7,72
2021,2,1,0.693697684,8,74
2021,2,1,0.693697684,9,84
2021,2,1,0.693697684,8,86
2021,2,1,0.693697684,11,112
2021,2,1,0.693697684,14,116
2021,2,1,0.693697684,19,118
2021,3,1,0.693697684,6,70
2021,4,1,0.693697684,5,60
2021,4,1,0.693697684,5,60
2021,4,1,0.693697684,5,60
2021,4,1,0.693697684,5,60
2021,4,1,0.693697684,5,62
2021,4,1,0.693697684,5,62
2021,4,1,0.693697684,5,62
2021,4,1,0.693697684,5,62
2021,4,1,0.693697684,5,64
2021,4,1,0.693697684,5,64
2021,4,1,0.693697684,6,64
2021,4,1,0.693697684,5,66
2021,4,1,0.693697684,6,66
2021,4,1,0.693697684,6,66
2021,4,1,0.693697684,7,66
2021,4,1,0.693697684,9,80
2021,4,1,0.693697684,18,144
2022,1,1,0.693697684,7,64
2022,1,1,0.693697684,5,68
2022,1,1,0.693697684,7,68
2022,1,1,0.693697684,7,70
2022,1,1,0.693697684,7,70
2022,1,1,0.693697684,5,72
2022,1,1,0.693697684,6,72
2022,1,1,0.693697684,7,72
2022,1,1,0.693697684,7,76
2022,1,1,0.693697684,9,82
2022,1,1,0.693697684,7,86
2022,1,1,0.693697684,8,86
2022,1,1,0.693697684,8,92
2022,1,1,0.693697684,12,100
2022,1,1,0.693697684,10,104
2022,1,1,0.693697684,13,116
2022,2,1,0.693697684,5,62
2022,2,1,0.693697684,6,64
2022,2,1,0.693697684,6,74
2022,2,1,0.693697684,23,134
2022,3,1,0.693697684,5,60
2022,4,1,0.693697684,9,106
2022,4,1,0.693697684,11,106
2022,4,1,0.693697684,14,106
2022,4,1,0.693697684,13,110
2022,4,1,0.693697684,24,132
2022,4,1,0.693697684,25,148
2023,1,1,0.693697684,5,64
2023,1,1,0.693697684,6,64
2023,1,1,0.693697684,6,64
2023,1,1,0.693697684,5,68
2023,1,1,0.693697684,5,68
2023,1,1,0.693697684,6,68
2023,1,1,0.693697684,6,68
2023,1,1,0.693697684,6,68
2023,1,1,0.693697684,6,70
2023,1,1,0.693697684,7,70
2023,1,1,0.693697684,7,74
2023,2,1,0.693697684,5,62
2023,2,1,0.693697684,5,66
2023,2,1,0.693697684,6,72
2023,2,1,0.693697684,6,74
2023,2,1,0.693697684,7,74
2023,3,1,0.693697684,10,86
2023,3,1,0.693697684,8,88
2023,3,1,0.693697684,8,90
2023,3,1,0.693697684,9,90
2023,3,1,0.693697684,9,90
2023,3,1,0.693697684,8,92
2023,3,1,0.693697684,9,92
2023,3,1,0.693697684,9,94
2023,3,1,0.693697684,10,94
2023,3,1,0.693697684,8,96
2023,3,1,0.693697684,9,96
2023,3,1,0.693697684,13,96
2023,3,1,0.693697684,9,98
2023,3,1,0.693697684,11,98
2023,3,1,0.693697684,9,104
2023,3,1,0.693697684,14,106
2023,3,1,0.693697684,10,108
2023,3,1,0.693697684,13,108
2023,3,1,0.693697684,15,108
2023,3,1,0.693697684,10,110
2023,3,1,0.693697684,11,110
2023,3,1,0.693697684,13,110
2023,3,1,0.693697684,13,110
2023,3,1,0.693697684,11,112
2023,3,1,0.693697684,12,112
2023,3,1,0.693697684,13,112
2023,3,1,0.693697684,15,114
2023,3,1,0.693697684,15,116
2023,3,1,0.693697684,18,116
2023,3,1,0.693697684,14,118
2023,3,1,0.693697684,18,120
2023,3,1,0.693697684,20,130
2023,4,1,0.693697684,6,68
2023,4,1,0.693697684,6,82
2023,4,1,0.693697684,6,84
2023,4,1,0.693697684,7,88
2023,4,1,0.693697684,14,120
2023,4,1,0.693697684,30,136
2024,1,1,0.693697684,18,136
2024,2,1,0.693697684,12,92
2006,4,1,0.693697684,9,94
2006,4,1,0.693697684,9,98
2006,4,1,0.693697684,10,98
2006,4,1,0.693697684,9,100
2006,4,1,0.693697684,10,100
2006,4,1,0.693697684,10,100
2006,4,1,0.693697684,10,100
2006,4,1,0.693697684,10,100
2006,4,1,0.693697684,10,100
2006,4,1,0.693697684,10,100
2006,4,1,0.693697684,10,100
2006,4,1,0.693697684,14,100
2006,4,1,0.693697684,9,102
2006,4,1,0.693697684,10,102
2006,4,1,0.693697684,10,102
2006,4,1,0.693697684,11,102
2006,4,1,0.693697684,12,102
2006,4,1,0.693697684,13,102
2006,4,1,0.693697684,9,104
2006,4,1,0.693697684,10,104
2006,4,1,0.693697684,11,104
2006,4,1,0.693697684,11,104
2006,4,1,0.693697684,12,104
2006,4,1,0.693697684,18,104
2006,4,1,0.693697684,10,106
2006,4,1,0.693697684,10,106
2006,4,1,0.693697684,11,106
2006,4,1,0.693697684,11,106
2006,4,1,0.693697684,15,106
2006,4,1,0.693697684,10,108
2006,4,1,0.693697684,11,108
2006,4,1,0.693697684,11,108
2006,4,1,0.693697684,15,108
2006,4,1,0.693697684,15,108
2006,4,1,0.693697684,15,108
2006,4,1,0.693697684,10,110
2006,4,1,0.693697684,13,110
2006,4,1,0.693697684,16,110
2006,4,1,0.693697684,10,112
2006,4,1,0.693697684,14,112
2006,4,1,0.693697684,18,112
2006,4,1,0.693697684,14,116
2006,4,1,0.693697684,15,134
2006,4,1,0.693697684,18,134
2006,4,1,0.693697684,15,136
2006,4,1,0.693697684,24,144
2006,4,1,0.693697684,31,150
2006,4,1,0.693697684,19,154
2006,4,1,0.693697684,28,158
2014,2,1,0.693697684,10,116
2014,2,1,0.693697684,26,130
2014,2,1,0.693697684,36,130
2014,2,1,0.693697684,22,134
2014,3,1,0.693697684,9,100
2014,3,1,0.693697684,11,102
2014,3,1,0.693697684,11,104
2014,3,1,0.693697684,10,106
2014,3,1,0.693697684,11,106
2014,3,1,0.693697684,16,106
2014,3,1,0.693697684,11,108
2014,3,1,0.693697684,10,110
2014,3,1,0.693697684,23,110
2014,3,1,0.693697684,14,114
2014,3,1,0.693697684,28,132
2015,1,1,0.693697684,8,96
2015,1,1,0.693697684,13,104
2015,1,1,0.693697684,10,110
2015,1,1,0.693697684,14,126
2015,2,1,0.693697684,7,86
2015,2,1,0.693697684,11,94
2015,2,1,0.693697684,10,102
