rel.group,area,year,season,program,length,lendist
2,2,1991,1,RTTP,112,0
2,2,1991,1,RTTP,114,0
2,2,1991,1,RTTP,116,0
2,2,1991,1,RTTP,118,0
2,2,1991,1,RTTP,120,0
2,2,1991,1,RTTP,122,0
2,2,1991,1,RTTP,124,0
2,2,1991,1,RTTP,126,0
2,2,1991,1,RTTP,128,0
2,2,1991,1,RTTP,130,0
2,2,1991,1,RTTP,132,0
2,2,1991,1,RTTP,134,0
2,2,1991,1,RTTP,136,0
2,2,1991,1,RTTP,138,0
2,2,1991,1,RTTP,140,0
2,2,1991,1,RTTP,142,0
2,2,1991,1,RTTP,144,0
2,2,1991,1,RTTP,146,0
2,2,1991,1,RTTP,148,0
2,2,1991,1,RTTP,150,0
2,2,1991,1,RTTP,152,0
2,2,1991,1,RTTP,154,0
2,2,1991,1,RTTP,156,0
2,2,1991,1,RTTP,158,0
2,2,1991,1,RTTP,160,0
2,2,1991,1,RTTP,162,0
2,2,1991,1,RTTP,164,0
2,2,1991,1,RTTP,166,0
2,2,1991,1,RTTP,168,0
2,2,1991,1,RTTP,170,0
2,2,1991,1,RTTP,172,0
2,2,1991,1,RTTP,174,0
2,2,1991,1,RTTP,176,0
2,2,1991,1,RTTP,178,0
2,2,1991,1,RTTP,180,0
2,2,1991,1,RTTP,182,0
2,2,1991,1,RTTP,184,0
2,2,1991,1,RTTP,186,0
2,2,1991,1,RTTP,188,0
2,2,1991,1,RTTP,190,0
2,2,1991,1,RTTP,192,0
2,2,1991,1,RTTP,194,0
2,2,1991,1,RTTP,196,0
2,2,1991,1,RTTP,198,0
3,2,1991,2,RTTP,10,0
3,2,1991,2,RTTP,12,0
3,2,1991,2,RTTP,14,0
3,2,1991,2,RTTP,16,0
3,2,1991,2,RTTP,18,0
3,2,1991,2,RTTP,20,0
3,2,1991,2,RTTP,22,0
3,2,1991,2,RTTP,24,0
3,2,1991,2,RTTP,26,0.782225740508399
3,2,1991,2,RTTP,28,0
3,2,1991,2,RTTP,30,0
3,2,1991,2,RTTP,32,2.3466772215252
3,2,1991,2,RTTP,34,1
3,2,1991,2,RTTP,36,0.782225740508399
3,2,1991,2,RTTP,38,2.3466772215252
3,2,1991,2,RTTP,40,2.3466772215252
3,2,1991,2,RTTP,42,1.5644514810168
3,2,1991,2,RTTP,44,1.5644514810168
3,2,1991,2,RTTP,46,0
3,2,1991,2,RTTP,48,0
3,2,1991,2,RTTP,50,0
3,2,1991,2,RTTP,52,0
3,2,1991,2,RTTP,54,0
3,2,1991,2,RTTP,56,0
3,2,1991,2,RTTP,58,0
3,2,1991,2,RTTP,60,0
3,2,1991,2,RTTP,62,0
3,2,1991,2,RTTP,64,0
3,2,1991,2,RTTP,66,0
3,2,1991,2,RTTP,68,0
3,2,1991,2,RTTP,70,0
3,2,1991,2,RTTP,72,0
3,2,1991,2,RTTP,74,0
3,2,1991,2,RTTP,76,0
3,2,1991,2,RTTP,78,0
3,2,1991,2,RTTP,80,0
3,2,1991,2,RTTP,82,0
3,2,1991,2,RTTP,84,0
3,2,1991,2,RTTP,86,0
3,2,1991,2,RTTP,88,0
3,2,1991,2,RTTP,90,0
3,2,1991,2,RTTP,92,0
3,2,1991,2,RTTP,94,0
3,2,1991,2,RTTP,96,0
3,2,1991,2,RTTP,98,0
3,2,1991,2,RTTP,100,0
3,2,1991,2,RTTP,102,0
3,2,1991,2,RTTP,104,0
3,2,1991,2,RTTP,106,0
3,2,1991,2,RTTP,108,0
3,2,1991,2,RTTP,110,0
3,2,1991,2,RTTP,112,0
3,2,1991,2,RTTP,114,0
3,2,1991,2,RTTP,116,0
3,2,1991,2,RTTP,118,0
3,2,1991,2,RTTP,120,0
3,2,1991,2,RTTP,122,0
3,2,1991,2,RTTP,124,0
3,2,1991,2,RTTP,126,0
3,2,1991,2,RTTP,128,0
3,2,1991,2,RTTP,130,0
3,2,1991,2,RTTP,132,0
3,2,1991,2,RTTP,134,0
3,2,1991,2,RTTP,136,0
3,2,1991,2,RTTP,138,0
3,2,1991,2,RTTP,140,0
3,2,1991,2,RTTP,142,0
3,2,1991,2,RTTP,144,0
3,2,1991,2,RTTP,146,0
3,2,1991,2,RTTP,148,0
3,2,1991,2,RTTP,150,0
3,2,1991,2,RTTP,152,0
3,2,1991,2,RTTP,154,0
3,2,1991,2,RTTP,156,0
3,2,1991,2,RTTP,158,0
3,2,1991,2,RTTP,160,0
3,2,1991,2,RTTP,162,0
3,2,1991,2,RTTP,164,0
3,2,1991,2,RTTP,166,0
3,2,1991,2,RTTP,168,0
3,2,1991,2,RTTP,170,0
3,2,1991,2,RTTP,172,0
3,2,1991,2,RTTP,174,0
3,2,1991,2,RTTP,176,0
3,2,1991,2,RTTP,178,0
3,2,1991,2,RTTP,180,0
