"Period","Years","Annual dynamic SB / SB(F=0)","SB / SB(MSY)","F / F(MSY)","Spawning potential (10^3 t)"
"Latest annual estimate","2024","0.162","0.894","1.438","233.6"
"Recent 4-year mean","2021-2024","0.180","1.026","1.221","267.9"
