"Index","Parameter","Estimate","L_bound","U_bound","Gradient","Note"
350,"region_rec_diffs(2,3)",0.24737558,-3,3,3.3547333e-06,""
351,"region_rec_diffs(2,4)",0.22362435,-3,3,-2.0591379e-05,""
352,"region_rec_diffs(2,5)",0.15365565,-3,3,1.0298872e-05,""
353,"region_rec_diffs(2,6)",0.33226367,-3,3,2.7913389e-05,""
354,"region_rec_diffs(2,7)",0.08865059,-3,3,-1.5837245e-06,""
355,"region_rec_diffs(2,8)",0.0068286637,-3,3,-1.1497641e-06,""
356,"region_rec_diffs(2,9)",-0.069796384,-3,3,-1.9614449e-06,""
357,"region_rec_diffs(2,10)",-0.47357792,-3,3,1.0950459e-05,""
358,"region_rec_diffs(2,11)",0.0080579827,-3,3,-3.740004e-06,""
359,"region_rec_diffs(2,12)",-0.041154034,-3,3,-8.5463219e-07,""
360,"region_rec_diffs(2,13)",-0.58557893,-3,3,5.7915308e-07,""
361,"region_rec_diffs(2,14)",0.44489103,-3,3,1.1119718e-05,""
362,"region_rec_diffs(2,15)",-0.0079877022,-3,3,-8.3357235e-07,""
363,"region_rec_diffs(2,16)",-0.047045787,-3,3,-6.2358117e-07,""
364,"region_rec_diffs(2,17)",0.91451945,-3,3,1.240761e-07,""
365,"region_rec_diffs(2,18)",0.2658685,-3,3,-4.8516722e-06,""
366,"region_rec_diffs(2,19)",-0.51341429,-3,3,6.7044859e-08,""
367,"region_rec_diffs(2,20)",-0.17668062,-3,3,-1.6139842e-07,""
368,"region_rec_diffs(2,21)",-0.35134851,-3,3,-4.9812212e-06,""
369,"region_rec_diffs(2,22)",-0.7060652,-3,3,-1.1645122e-06,""
370,"region_rec_diffs(2,23)",-0.77075753,-3,3,-3.9694665e-06,""
371,"region_rec_diffs(2,24)",-0.27665616,-3,3,-1.5621262e-06,""
372,"region_rec_diffs(2,25)",-1.2483142,-3,3,-2.0667507e-06,""
373,"region_rec_diffs(2,26)",-0.27081257,-3,3,1.9319979e-06,""
374,"region_rec_diffs(2,27)",-2.2648127,-3,3,-7.6511791e-06,""
375,"region_rec_diffs(2,28)",-0.1314338,-3,3,7.8479437e-07,""
376,"region_rec_diffs(2,29)",1.1735125,-3,3,-1.2966754e-05,""
377,"region_rec_diffs(2,30)",0.23726264,-3,3,-2.3159613e-06,""
378,"region_rec_diffs(2,31)",0.078431816,-3,3,-3.7685603e-06,""
379,"region_rec_diffs(2,32)",-0.0091800803,-3,3,-1.8520657e-06,""
380,"region_rec_diffs(2,33)",-0.60881309,-3,3,1.1996808e-06,""
381,"region_rec_diffs(2,34)",-1.8177537,-3,3,-2.703251e-06,""
382,"region_rec_diffs(2,35)",-0.2206793,-3,3,-5.6944051e-07,""
383,"region_rec_diffs(2,36)",-0.58387925,-3,3,-1.0917492e-05,""
384,"region_rec_diffs(2,37)",-1.7624727,-3,3,2.4343005e-06,""
385,"region_rec_diffs(2,38)",-0.081729339,-3,3,2.4776493e-06,""
386,"region_rec_diffs(2,39)",-0.46796277,-3,3,-1.9015892e-06,""
387,"region_rec_diffs(2,40)",-1.0071825,-3,3,-1.6480923e-07,""
388,"region_rec_diffs(2,41)",0.12104183,-3,3,1.2685353e-05,""
389,"region_rec_diffs(2,42)",-1.2274012,-3,3,-4.320408e-07,""
390,"region_rec_diffs(2,43)",-1.186171,-3,3,1.7248514e-06,""
391,"region_rec_diffs(2,44)",0.025959562,-3,3,9.6620018e-06,""
392,"region_rec_diffs(2,45)",-1.6896861,-3,3,-2.3235747e-06,""
393,"region_rec_diffs(2,46)",-0.88263636,-3,3,3.0747483e-07,""
394,"region_rec_diffs(2,47)",-1.6221808,-3,3,-2.3349833e-06,""
395,"region_rec_diffs(2,48)",-1.8019018,-3,3,-1.1477666e-06,""
396,"region_rec_diffs(2,49)",0.61189151,-3,3,-4.3984587e-07,""
397,"region_rec_diffs(2,50)",-0.78485686,-3,3,-4.2829978e-06,""
398,"region_rec_diffs(2,51)",-0.13849347,-3,3,1.783113e-06,""
399,"region_rec_diffs(2,52)",0.46164298,-3,3,1.2788265e-06,""
400,"region_rec_diffs(2,53)",-1.2160348,-3,3,7.0991556e-06,""
401,"region_rec_diffs(2,54)",-1.7034678,-3,3,-4.1262761e-06,""
402,"region_rec_diffs(2,55)",-0.36667905,-3,3,2.4641383e-07,""
403,"region_rec_diffs(2,56)",-1.3608629,-3,3,-7.9175573e-06,""
404,"region_rec_diffs(2,57)",-1.0050388,-3,3,3.8716517e-06,""
405,"region_rec_diffs(2,58)",-1.8270785,-3,3,5.3214701e-06,""
406,"region_rec_diffs(2,59)",-0.29852698,-3,3,3.4164131e-06,""
407,"region_rec_diffs(2,60)",-2.0603251,-3,3,-3.0760025e-06,""
408,"region_rec_diffs(2,61)",-1.7304539,-3,3,-4.3045809e-06,""
409,"region_rec_diffs(2,62)",0.18407833,-3,3,2.8447033e-06,""
410,"region_rec_diffs(2,63)",-0.4517962,-3,3,6.4806329e-07,""
411,"region_rec_diffs(2,64)",-0.91383326,-3,3,-2.6269877e-06,""
412,"region_rec_diffs(2,65)",0.19665809,-3,3,-6.182921e-06,""
413,"region_rec_diffs(2,66)",0.18445653,-3,3,9.8372636e-08,""
414,"region_rec_diffs(2,67)",0.096198275,-3,3,-4.6590877e-06,""
415,"region_rec_diffs(2,68)",0.068644907,-3,3,-3.4205963e-06,""
416,"region_rec_diffs(2,69)",-0.0082263495,-3,3,-9.6699602e-06,""
417,"region_rec_diffs(2,70)",-0.85511874,-3,3,-2.5710986e-06,""
418,"region_rec_diffs(2,71)",-0.31900934,-3,3,-5.331631e-06,""
419,"region_rec_diffs(2,72)",-1.5996577,-3,3,-1.4243993e-07,""
420,"region_rec_diffs(2,73)",0.029478321,-3,3,-9.7290299e-06,""
421,"region_rec_diffs(2,74)",0.39837382,-3,3,5.0546273e-06,""
422,"region_rec_diffs(2,75)",0.088711868,-3,3,1.7183628e-06,""
423,"region_rec_diffs(2,76)",2.0600313,-3,3,-4.5302693e-05,""
424,"region_rec_diffs(2,77)",0.33423889,-3,3,2.0486927e-06,""
425,"region_rec_diffs(2,78)",-0.36995445,-3,3,-4.3546955e-06,""
426,"region_rec_diffs(2,79)",0.11380516,-3,3,1.2659277e-06,""
427,"region_rec_diffs(2,80)",-1.1449808,-3,3,-2.7122069e-06,""
428,"region_rec_diffs(2,81)",1.9199549,-3,3,2.6339367e-06,""
429,"region_rec_diffs(2,82)",-0.65361048,-3,3,-2.44333e-06,""
430,"region_rec_diffs(2,83)",-1.3842201,-3,3,1.2416631e-06,""
431,"region_rec_diffs(2,84)",-0.65283131,-3,3,-6.4784585e-07,""
432,"region_rec_diffs(2,85)",-0.83274393,-3,3,5.522628e-06,""
433,"region_rec_diffs(2,86)",-0.64999203,-3,3,1.5003904e-06,""
434,"region_rec_diffs(2,87)",-0.22831787,-3,3,-7.587588e-07,""
435,"region_rec_diffs(2,88)",0.32694621,-3,3,4.8360673e-06,""
436,"region_rec_diffs(2,89)",-0.014599403,-3,3,-1.0596956e-06,""
437,"region_rec_diffs(2,90)",0.10991519,-3,3,-8.7766251e-06,""
438,"region_rec_diffs(2,91)",-0.85565288,-3,3,-2.4438379e-06,""
439,"region_rec_diffs(2,92)",1.4550029,-3,3,-6.1481574e-06,""
440,"region_rec_diffs(2,93)",-0.49239902,-3,3,-2.9998483e-06,""
441,"region_rec_diffs(2,94)",-1.5721139,-3,3,-6.3084635e-06,""
442,"region_rec_diffs(2,95)",-1.3441747,-3,3,-4.0994493e-06,""
443,"region_rec_diffs(2,96)",-1.4726782,-3,3,-3.2341816e-06,""
444,"region_rec_diffs(2,97)",-0.99970997,-3,3,-1.669359e-06,""
445,"region_rec_diffs(2,98)",-0.73120474,-3,3,-2.3087787e-06,""
446,"region_rec_diffs(2,99)",-1.1678304,-3,3,-9.6420025e-07,""
447,"region_rec_diffs(2,100)",1.3259579,-3,3,-9.0326762e-06,""
448,"region_rec_diffs(2,101)",-1.0936028,-3,3,1.7866448e-06,""
449,"region_rec_diffs(2,102)",-0.20494026,-3,3,-2.0216238e-06,""
450,"region_rec_diffs(2,103)",0.26337917,-3,3,-1.0722821e-05,""
451,"region_rec_diffs(2,104)",-1.5528524,-3,3,-1.8585316e-05,""
452,"region_rec_diffs(2,105)",-0.53676298,-3,3,-3.249145e-06,""
453,"region_rec_diffs(2,106)",-0.23442681,-3,3,-2.3499726e-07,""
454,"region_rec_diffs(2,107)",0.023492023,-3,3,-8.69243e-07,""
455,"region_rec_diffs(2,108)",0.64243356,-3,3,7.9631913e-06,""
456,"region_rec_diffs(2,109)",-0.84206158,-3,3,-1.8954674e-05,""
457,"region_rec_diffs(2,110)",0.0086317743,-3,3,-8.2674661e-06,""
458,"region_rec_diffs(2,111)",0.24331376,-3,3,2.7485287e-06,""
459,"region_rec_diffs(2,112)",-2.0533559,-3,3,6.4416012e-06,""
460,"region_rec_diffs(2,113)",-2.9999986,-3,3,5.3506162e-08,"*"
461,"region_rec_diffs(2,114)",-0.11488262,-3,3,-3.9930254e-06,""
462,"region_rec_diffs(2,115)",-0.82596643,-3,3,-2.4972826e-06,""
463,"region_rec_diffs(2,116)",-1.1430119,-3,3,-6.2775644e-07,""
464,"region_rec_diffs(2,117)",-0.70760375,-3,3,7.2063671e-06,""
465,"region_rec_diffs(2,118)",-0.83077549,-3,3,3.6625335e-06,""
466,"region_rec_diffs(2,119)",0.74821058,-3,3,1.4471366e-06,""
467,"region_rec_diffs(2,120)",-0.41991672,-3,3,-2.4984725e-06,""
468,"region_rec_diffs(2,121)",-2.9999997,-3,3,2.154214e-09,"*"
469,"region_rec_diffs(2,122)",-2.9999994,-3,3,-2.3262938e-08,"*"
470,"region_rec_diffs(2,123)",0.25521929,-3,3,7.7927451e-06,""
471,"region_rec_diffs(2,124)",-2.5226432,-3,3,-4.7571023e-06,""
472,"region_rec_diffs(2,125)",-2.5549694,-3,3,-3.2222232e-06,""
473,"region_rec_diffs(2,126)",1.7290374,-3,3,1.0073529e-05,""
474,"region_rec_diffs(2,127)",0.47593796,-3,3,-3.3698083e-06,""
475,"region_rec_diffs(2,128)",-1.7570466,-3,3,-1.5388636e-05,""
476,"region_rec_diffs(2,129)",-2.9999996,-3,3,-2.1092582e-08,"*"
477,"region_rec_diffs(2,130)",-1.0784795,-3,3,3.8877741e-06,""
478,"region_rec_diffs(2,131)",0.27279741,-3,3,1.5591173e-05,""
479,"region_rec_diffs(2,132)",-2.9999999,-3,3,-1.0319302e-09,"*"
480,"region_rec_diffs(2,133)",-2.9999999,-3,3,-2.6739971e-08,"*"
481,"region_rec_diffs(2,134)",-2.0928938,-3,3,-8.4524104e-06,""
482,"region_rec_diffs(2,135)",1.8625542,-3,3,1.4306208e-05,""
483,"region_rec_diffs(2,136)",1.6218658,-3,3,7.1050085e-06,""
484,"region_rec_diffs(2,137)",0.042348616,-3,3,-1.740434e-06,""
485,"region_rec_diffs(2,138)",0.22022467,-3,3,-8.0005949e-06,""
486,"region_rec_diffs(2,139)",1.5485726,-3,3,3.8037276e-07,""
487,"region_rec_diffs(2,140)",1.479221,-3,3,-1.0861649e-05,""
488,"region_rec_diffs(2,141)",-2.7123908,-3,3,1.3913597e-05,""
489,"region_rec_diffs(2,142)",-1.3085159,-3,3,-9.9251168e-08,""
490,"region_rec_diffs(2,143)",-2.0540558,-3,3,-4.9316183e-06,""
491,"region_rec_diffs(2,144)",1.0375619,-3,3,-8.3845316e-06,""
492,"region_rec_diffs(2,145)",-0.3811027,-3,3,-5.5844036e-06,""
493,"region_rec_diffs(2,146)",-0.22903169,-3,3,1.7497309e-06,""
494,"region_rec_diffs(2,147)",0.91163086,-3,3,-1.2923632e-05,""
495,"region_rec_diffs(2,148)",1.2682174,-3,3,1.0906045e-05,""
496,"region_rec_diffs(2,149)",0.7614253,-3,3,4.2581188e-06,""
497,"region_rec_diffs(2,150)",0.086958359,-3,3,4.7726207e-07,""
498,"region_rec_diffs(2,151)",-0.54746828,-3,3,5.1969975e-07,""
499,"region_rec_diffs(2,152)",1.6738837,-3,3,-1.8025807e-06,""
500,"region_rec_diffs(2,153)",-0.6379034,-3,3,-1.0166591e-05,""
501,"region_rec_diffs(2,154)",-1.7352572,-3,3,-6.6387399e-07,""
502,"region_rec_diffs(2,155)",-0.71055324,-3,3,1.2167367e-06,""
503,"region_rec_diffs(2,156)",1.1560233,-3,3,1.0568127e-05,""
504,"region_rec_diffs(2,157)",-1.484579,-3,3,-2.5644739e-06,""
505,"region_rec_diffs(2,158)",-0.16271311,-3,3,9.2749241e-06,""
506,"region_rec_diffs(2,159)",-0.70416483,-3,3,-8.6419385e-06,""
507,"region_rec_diffs(2,160)",0.25075891,-3,3,-1.1759021e-05,""
508,"region_rec_diffs(2,161)",-2.4885548,-3,3,-4.1106278e-06,""
509,"region_rec_diffs(2,162)",-1.4096652,-3,3,-6.2365206e-06,""
510,"region_rec_diffs(2,163)",1.8822622,-3,3,2.1318123e-05,""
511,"region_rec_diffs(2,164)",-0.046697007,-3,3,-1.121023e-05,""
512,"region_rec_diffs(2,165)",0.48342018,-3,3,-2.1402261e-06,""
513,"region_rec_diffs(2,166)",1.1991443,-3,3,-1.8225567e-05,""
514,"region_rec_diffs(2,167)",1.548314,-3,3,1.0976962e-05,""
515,"region_rec_diffs(2,168)",-0.14153412,-3,3,1.9110472e-06,""
516,"region_rec_diffs(2,169)",-0.095550919,-3,3,-1.7300673e-05,""
517,"region_rec_diffs(2,170)",1.8662705,-3,3,2.0471646e-05,""
518,"region_rec_diffs(2,171)",0.63071576,-3,3,-2.1274356e-05,""
519,"region_rec_diffs(2,172)",-2.5981983,-3,3,-1.0115824e-05,""
520,"region_rec_diffs(2,173)",-1.3606494,-3,3,-1.2425031e-06,""
521,"region_rec_diffs(2,174)",1.2846683,-3,3,1.0383597e-05,""
522,"region_rec_diffs(2,175)",1.7555291,-3,3,1.7126139e-05,""
523,"region_rec_diffs(2,176)",1.7962923,-3,3,-6.4610024e-06,""
524,"region_rec_diffs(2,177)",0.30240533,-3,3,-1.9473631e-06,""
525,"region_rec_diffs(2,178)",0.2419341,-3,3,-2.1215835e-05,""
526,"region_rec_diffs(2,179)",1.5158647,-3,3,-1.6225462e-05,""
527,"region_rec_diffs(2,180)",0.2630627,-3,3,1.1594424e-05,""
528,"region_rec_diffs(2,181)",1.1517059,-3,3,-6.188233e-06,""
529,"region_rec_diffs(2,182)",1.6930753,-3,3,8.4158959e-06,""
530,"region_rec_diffs(2,183)",1.949622,-3,3,-2.8749117e-05,""
531,"region_rec_diffs(2,184)",0.68889319,-3,3,1.7135545e-05,""
532,"region_rec_diffs(2,185)",-0.99974412,-3,3,-3.1216509e-06,""
533,"region_rec_diffs(2,186)",0.92811336,-3,3,-1.8151474e-05,""
534,"region_rec_diffs(2,187)",0.43373397,-3,3,-6.7708389e-06,""
535,"region_rec_diffs(2,188)",1.1163668,-3,3,2.9600835e-05,""
536,"region_rec_diffs(2,189)",0.87409675,-3,3,7.1156706e-06,""
537,"region_rec_diffs(2,190)",1.6243927,-3,3,2.5659117e-06,""
538,"region_rec_diffs(2,191)",0.93492913,-3,3,4.4499232e-06,""
539,"region_rec_diffs(2,192)",-0.81322041,-3,3,9.1017846e-06,""
540,"region_rec_diffs(2,193)",-1.6709964,-3,3,-1.188063e-06,""
541,"region_rec_diffs(2,194)",0.58339109,-3,3,-2.7463346e-05,""
542,"region_rec_diffs(2,195)",1.242357,-3,3,1.8920351e-06,""
543,"region_rec_diffs(2,196)",-0.2323822,-3,3,-1.9908061e-05,""
544,"region_rec_diffs(2,197)",0.21662223,-3,3,-1.1949923e-06,""
545,"region_rec_diffs(2,198)",2.0106666,-3,3,4.2015248e-06,""
546,"region_rec_diffs(2,199)",0.33346399,-3,3,1.5491132e-05,""
547,"region_rec_diffs(2,200)",1.7730329,-3,3,1.1251301e-05,""
548,"region_rec_diffs(2,201)",0.42993191,-3,3,3.314468e-06,""
549,"region_rec_diffs(2,202)",-1.3366479,-3,3,1.7318154e-06,""
550,"region_rec_diffs(2,203)",0.14484328,-3,3,5.9079345e-06,""
551,"region_rec_diffs(2,204)",1.971569,-3,3,1.2233434e-05,""
552,"region_rec_diffs(2,205)",-1.6399607,-3,3,-3.3475256e-06,""
553,"region_rec_diffs(2,206)",1.735124,-3,3,-1.7299868e-05,""
554,"region_rec_diffs(2,207)",0.55860628,-3,3,8.8105029e-06,""
555,"region_rec_diffs(2,208)",1.9016941,-3,3,-3.2286224e-06,""
556,"region_rec_diffs(2,209)",-0.78871936,-3,3,-4.1568581e-06,""
557,"region_rec_diffs(2,210)",-1.6609905,-3,3,-5.1247843e-06,""
558,"region_rec_diffs(2,211)",-1.4446319,-3,3,6.2201098e-07,""
559,"region_rec_diffs(2,212)",0.98150218,-3,3,1.8836889e-05,""
560,"region_rec_diffs(2,213)",0.47843159,-3,3,-5.9239493e-06,""
561,"region_rec_diffs(2,214)",1.4314392,-3,3,-7.9410374e-06,""
562,"region_rec_diffs(2,215)",0.22180375,-3,3,3.8305985e-06,""
563,"region_rec_diffs(2,216)",1.7152677,-3,3,1.5169115e-06,""
564,"region_rec_diffs(2,217)",0.72930579,-3,3,1.6766655e-05,""
565,"region_rec_diffs(2,218)",0.63962004,-3,3,1.8593395e-05,""
566,"region_rec_diffs(2,219)",1.2179075,-3,3,6.4760785e-07,""
567,"region_rec_diffs(2,220)",1.1655414,-3,3,7.2544996e-06,""
568,"region_rec_diffs(2,221)",0.97652845,-3,3,-1.7295543e-05,""
569,"region_rec_diffs(2,222)",0.99510043,-3,3,-4.4890949e-06,""
570,"region_rec_diffs(2,223)",-1.7377789,-3,3,-2.2872551e-06,""
571,"region_rec_diffs(2,224)",0.2889385,-3,3,1.2133445e-05,""
572,"region_rec_diffs(2,225)",1.0557014,-3,3,-2.9474145e-06,""
573,"region_rec_diffs(2,226)",1.2861406,-3,3,3.5593994e-06,""
574,"region_rec_diffs(2,227)",0.84506233,-3,3,1.3002657e-05,""
575,"region_rec_diffs(2,228)",1.105213,-3,3,6.0807456e-06,""
576,"region_rec_diffs(2,229)",0.10444574,-3,3,-1.443667e-05,""
577,"region_rec_diffs(2,230)",0.087763706,-3,3,-1.7905244e-06,""
578,"region_rec_diffs(2,231)",-1.0061771,-3,3,-6.6972972e-06,""
579,"region_rec_diffs(2,232)",-1.0843193,-3,3,2.0324648e-05,""
580,"region_rec_diffs(2,233)",-0.15740719,-3,3,1.2912531e-05,""
581,"region_rec_diffs(2,234)",-1.1333993,-3,3,-1.5579569e-05,""
582,"region_rec_diffs(2,235)",-0.50751103,-3,3,6.9961129e-06,""
583,"region_rec_diffs(2,236)",0.55330499,-3,3,1.1586297e-05,""
584,"region_rec_diffs(2,237)",0.59546831,-3,3,-2.5148489e-05,""
585,"region_rec_diffs(2,238)",0.29310018,-3,3,-6.0201269e-06,""
586,"region_rec_diffs(2,239)",0.75171984,-3,3,7.7570886e-06,""
587,"region_rec_diffs(2,240)",-0.55118593,-3,3,-1.4795018e-05,""
588,"region_rec_diffs(2,241)",-0.66533039,-3,3,2.1472258e-05,""
589,"region_rec_diffs(2,242)",0.11409353,-3,3,3.1364382e-05,""
590,"region_rec_diffs(2,243)",0.39865004,-3,3,-2.1081998e-05,""
591,"region_rec_diffs(2,244)",0.59110016,-3,3,1.1848171e-06,""
592,"region_rec_diffs(2,245)",0.51571026,-3,3,-4.1012515e-06,""
593,"region_rec_diffs(2,246)",-1.0146073,-3,3,4.9399156e-06,""
594,"region_rec_diffs(2,247)",-0.17894255,-3,3,1.9437201e-05,""
595,"region_rec_diffs(2,248)",0.43598889,-3,3,1.0044412e-05,""
596,"region_rec_diffs(2,249)",1.2305315,-3,3,-1.3354101e-05,""
597,"region_rec_diffs(2,250)",0.26005666,-3,3,-1.348006e-05,""
598,"region_rec_diffs(2,251)",1.0648595,-3,3,-1.6803806e-05,""
599,"region_rec_diffs(2,252)",0.64358346,-3,3,2.0255474e-05,""
600,"region_rec_diffs(2,253)",0.59738367,-3,3,2.0460387e-06,""
601,"region_rec_diffs(2,254)",0.86636868,-3,3,-1.8687727e-06,""
602,"region_rec_diffs(2,255)",-0.015346178,-3,3,1.0223631e-05,""
603,"region_rec_diffs(2,256)",0.027747279,-3,3,1.306624e-05,""
604,"region_rec_diffs(2,257)",0.71081546,-3,3,-4.2550628e-06,""
605,"region_rec_diffs(2,258)",0.90899704,-3,3,7.5911616e-06,""
606,"region_rec_diffs(2,259)",1.0093282,-3,3,1.1400895e-07,""
607,"region_rec_diffs(2,260)",0.72352947,-3,3,3.3328798e-05,""
608,"region_rec_diffs(2,261)",-0.20146609,-3,3,3.5394975e-06,""
609,"region_rec_diffs(2,262)",0.88772663,-3,3,9.8276662e-06,""
610,"region_rec_diffs(2,263)",0.3785047,-3,3,1.5892686e-05,""
611,"region_rec_diffs(2,264)",0.11605421,-3,3,-6.3246345e-07,""
612,"region_rec_diffs(2,265)",-0.36755863,-3,3,-1.4984259e-05,""
613,"region_rec_diffs(2,266)",0.60260498,-3,3,-1.2563762e-05,""
614,"region_rec_diffs(2,267)",0.30074177,-3,3,-5.4401873e-06,""
615,"region_rec_diffs(2,268)",-0.59733512,-3,3,8.2161981e-06,""
616,"region_rec_diffs(2,269)",-1.4324661,-3,3,3.6015157e-07,""
617,"region_rec_diffs(2,270)",-1.3059553,-3,3,-1.4504855e-05,""
618,"region_rec_diffs(2,271)",-0.85886029,-3,3,2.1210935e-05,""
619,"region_rec_diffs(2,272)",0.77599501,-3,3,5.4655435e-06,""
620,"region_rec_diffs(2,273)",1.6657891,-3,3,-1.0896669e-05,""
621,"region_rec_diffs(2,274)",0.68704442,-3,3,1.4949166e-06,""
622,"region_rec_diffs(2,275)",1.4464772,-3,3,-6.6898451e-06,""
623,"region_rec_diffs(2,276)",1.2687161,-3,3,1.1782084e-05,""
624,"region_rec_diffs(2,277)",0.29724554,-3,3,4.4347632e-06,""
625,"region_rec_diffs(2,278)",1.581134,-3,3,-4.5478114e-06,""
626,"region_rec_diffs(2,279)",1.2153773,-3,3,3.6449521e-06,""
627,"region_rec_diffs(2,280)",0.81534195,-3,3,-1.0089045e-05,""
628,"region_rec_diffs(2,281)",0.99469138,-3,3,1.3643529e-05,""
629,"region_rec_diffs(2,282)",1.0161993,-3,3,8.8131311e-06,""
630,"region_rec_diffs(2,283)",1.4456721,-3,3,-5.782891e-06,""
631,"region_rec_diffs(2,284)",1.2192798,-3,3,5.6050937e-06,""
632,"region_rec_diffs(2,285)",-0.42340732,-3,3,-5.3974187e-06,""
633,"region_rec_diffs(2,286)",0.99859902,-3,3,1.1398089e-05,""
634,"region_rec_diffs(2,287)",1.8430286,-3,3,1.0650382e-05,""
635,"region_rec_diffs(2,288)",0.86886271,-3,3,-8.925353e-06,""
636,"region_rec_diffs(2,289)",-0.8024569,-3,3,4.418513e-06,""
637,"region_rec_diffs(2,290)",0.61380982,-3,3,-1.0979968e-05,""
638,"region_rec_diffs(2,291)",0.83471791,-3,3,6.2894508e-06,""
639,"region_rec_diffs(3,1)",0,-3,3,8.5361818e-16,""
640,"region_rec_diffs(3,2)",-1.5815162,-3,3,6.878361e-07,""
641,"region_rec_diffs(3,3)",-1.5628707,-3,3,2.7455565e-06,""
642,"region_rec_diffs(3,4)",-1.6077219,-3,3,-7.6609545e-06,""
643,"region_rec_diffs(3,5)",-1.5346958,-3,3,1.2958417e-06,""
644,"region_rec_diffs(3,6)",-1.6734514,-3,3,2.8122231e-06,""
645,"region_rec_diffs(3,7)",-0.15751686,-3,3,3.9535217e-06,""
646,"region_rec_diffs(3,8)",-0.090254511,-3,3,-7.3626013e-06,""
647,"region_rec_diffs(3,9)",-0.35091857,-3,3,1.6785659e-06,""
648,"region_rec_diffs(3,10)",-1.7562229,-3,3,3.3481563e-06,""
649,"region_rec_diffs(3,11)",-0.12419892,-3,3,5.0779406e-06,""
650,"region_rec_diffs(3,12)",-0.07142081,-3,3,-1.4891774e-06,""
651,"region_rec_diffs(3,13)",-0.68853864,-3,3,-9.7101576e-06,""
652,"region_rec_diffs(3,14)",-0.58212395,-3,3,-1.4374578e-05,""
653,"region_rec_diffs(3,15)",0.03367329,-3,3,-1.9993353e-06,""
654,"region_rec_diffs(3,16)",-0.032182708,-3,3,-1.243191e-07,""
655,"region_rec_diffs(3,17)",-0.63405358,-3,3,6.758788e-06,""
656,"region_rec_diffs(3,18)",-1.0245085,-3,3,4.1252514e-06,""
657,"region_rec_diffs(3,19)",-0.68110845,-3,3,2.3022405e-06,""
658,"region_rec_diffs(3,20)",-0.062469867,-3,3,-4.3000112e-06,""
659,"region_rec_diffs(3,21)",-0.65585636,-3,3,-1.1999968e-05,""
660,"region_rec_diffs(3,22)",-0.81962717,-3,3,2.8925318e-07,""
661,"region_rec_diffs(3,23)",-0.90434957,-3,3,-2.0914541e-06,""
662,"region_rec_diffs(3,24)",-0.081447566,-3,3,-3.898227e-06,""
663,"region_rec_diffs(3,25)",-1.215246,-3,3,2.5215937e-06,""
664,"region_rec_diffs(3,26)",-0.036257966,-3,3,5.0814746e-06,""
665,"region_rec_diffs(3,27)",-2.6020555,-3,3,-1.787682e-06,""
666,"region_rec_diffs(3,28)",-0.13330755,-3,3,3.9442494e-06,""
667,"region_rec_diffs(3,29)",-1.2951003,-3,3,-1.1040642e-06,""
668,"region_rec_diffs(3,30)",0.059391571,-3,3,7.8859341e-07,""
669,"region_rec_diffs(3,31)",0.11901648,-3,3,-1.0712503e-05,""
670,"region_rec_diffs(3,32)",0.082046197,-3,3,-5.6950781e-06,""
671,"region_rec_diffs(3,33)",-0.34623532,-3,3,1.4718271e-05,""
672,"region_rec_diffs(3,34)",-1.9923642,-3,3,4.8900567e-06,""
673,"region_rec_diffs(3,35)",-0.21040299,-3,3,1.6911757e-06,""
674,"region_rec_diffs(3,36)",-0.44809306,-3,3,-1.120969e-05,""
675,"region_rec_diffs(3,37)",-1.4684182,-3,3,6.7212691e-06,""
676,"region_rec_diffs(3,38)",0.16904462,-3,3,-6.1327212e-07,""
677,"region_rec_diffs(3,39)",-0.15321724,-3,3,1.9147728e-06,""
678,"region_rec_diffs(3,40)",0.4131295,-3,3,2.4475679e-06,""
679,"region_rec_diffs(3,41)",-0.80613168,-3,3,-8.6610587e-07,""
680,"region_rec_diffs(3,42)",-0.084594993,-3,3,1.5794169e-05,""
681,"region_rec_diffs(3,43)",-0.62951718,-3,3,-5.2157204e-06,""
682,"region_rec_diffs(3,44)",-0.77013046,-3,3,6.005721e-06,""
683,"region_rec_diffs(3,45)",-1.5354545,-3,3,-5.8066357e-06,""
684,"region_rec_diffs(3,46)",-0.90059182,-3,3,-1.0023841e-06,""
685,"region_rec_diffs(3,47)",-0.34002019,-3,3,-1.5767332e-05,""
686,"region_rec_diffs(3,48)",-2.154484,-3,3,4.5902087e-09,""
687,"region_rec_diffs(3,49)",-2.0306513,-3,3,-2.6115842e-06,""
688,"region_rec_diffs(3,50)",-1.9045408,-3,3,2.7139903e-06,""
689,"region_rec_diffs(3,51)",-0.12708377,-3,3,-1.9888286e-07,""
690,"region_rec_diffs(3,52)",-0.31434907,-3,3,3.7715885e-06,""
691,"region_rec_diffs(3,53)",-1.9699163,-3,3,8.5934969e-07,""
692,"region_rec_diffs(3,54)",-1.8538603,-3,3,1.2580829e-06,""
693,"region_rec_diffs(3,55)",-0.23282983,-3,3,-4.1257341e-06,""
694,"region_rec_diffs(3,56)",-0.44703532,-3,3,-8.9781093e-06,""
695,"region_rec_diffs(3,57)",-0.028273982,-3,3,1.6551821e-05,""
696,"region_rec_diffs(3,58)",-1.9379035,-3,3,1.279522e-05,""
697,"region_rec_diffs(3,59)",-0.14764416,-3,3,-1.034021e-05,""
698,"region_rec_diffs(3,60)",-1.0496632,-3,3,1.0774961e-06,""
