"Index","Parameter","Estimate","L_bound","U_bound","Gradient","Note"
82,"region_rec_diffs(1,26)",0.065877117,-3,3,1.1936115e-06,""
83,"region_rec_diffs(1,27)",1.179487,-3,3,-4.1409824e-07,""
84,"region_rec_diffs(1,28)",0.220591,-3,3,5.8789141e-06,""
85,"region_rec_diffs(1,29)",-0.69412859,-3,3,-8.1632632e-06,""
86,"region_rec_diffs(1,30)",-0.23822222,-3,3,-4.4089185e-06,""
87,"region_rec_diffs(1,31)",-0.32106683,-3,3,-4.8559384e-06,""
88,"region_rec_diffs(1,32)",-0.19810669,-3,3,-5.819942e-06,""
89,"region_rec_diffs(1,33)",-0.59537685,-3,3,3.8227579e-06,""
90,"region_rec_diffs(1,34)",0.75553508,-3,3,-3.5372557e-06,""
91,"region_rec_diffs(1,35)",0.29391967,-3,3,5.6580993e-06,""
92,"region_rec_diffs(1,36)",0.58079141,-3,3,-5.6356318e-07,""
93,"region_rec_diffs(1,37)",0.71512099,-3,3,1.8750025e-06,""
94,"region_rec_diffs(1,38)",-0.54034219,-3,3,-1.4194519e-06,""
95,"region_rec_diffs(1,39)",0.28622814,-3,3,2.6027746e-06,""
96,"region_rec_diffs(1,40)",-0.43479881,-3,3,-7.3683455e-06,""
97,"region_rec_diffs(1,41)",0.74936202,-3,3,4.1903107e-06,""
98,"region_rec_diffs(1,42)",0.70079904,-3,3,-5.8671902e-06,""
99,"region_rec_diffs(1,43)",-0.37865199,-3,3,2.2875565e-06,""
100,"region_rec_diffs(1,44)",0.67672967,-3,3,9.4238024e-06,""
101,"region_rec_diffs(1,45)",0.9583847,-3,3,5.9868557e-06,""
102,"region_rec_diffs(1,46)",0.77975051,-3,3,2.3402771e-06,""
103,"region_rec_diffs(1,47)",0.62761463,-3,3,7.1317352e-06,""
104,"region_rec_diffs(1,48)",1.1691147,-3,3,-3.1868773e-07,""
105,"region_rec_diffs(1,49)",-0.9338171,-3,3,-2.064838e-06,""
106,"region_rec_diffs(1,50)",1.1215428,-3,3,4.3562736e-10,""
107,"region_rec_diffs(1,51)",0.13838446,-3,3,-2.8026374e-07,""
108,"region_rec_diffs(1,52)",-0.074209011,-3,3,-2.21789e-06,""
109,"region_rec_diffs(1,53)",0.86710465,-3,3,3.9640202e-06,""
110,"region_rec_diffs(1,54)",0.48907661,-3,3,6.3505369e-06,""
111,"region_rec_diffs(1,55)",0.28010249,-3,3,-7.1880931e-06,""
112,"region_rec_diffs(1,56)",-0.31597156,-3,3,-6.9632783e-06,""
113,"region_rec_diffs(1,57)",-0.027502078,-3,3,3.2857993e-06,""
114,"region_rec_diffs(1,58)",0.67674896,-3,3,-6.639643e-07,""
115,"region_rec_diffs(1,59)",0.27825367,-3,3,-9.9209455e-06,""
116,"region_rec_diffs(1,60)",0.3239202,-3,3,6.4111231e-06,""
117,"region_rec_diffs(1,61)",1.0915789,-3,3,-4.8406552e-07,""
118,"region_rec_diffs(1,62)",-0.2536238,-3,3,1.0363363e-05,""
119,"region_rec_diffs(1,63)",0.94770503,-3,3,9.3258143e-07,""
120,"region_rec_diffs(1,64)",1.0572078,-3,3,1.1906055e-06,""
121,"region_rec_diffs(1,65)",-0.53799658,-3,3,-2.4978167e-05,""
122,"region_rec_diffs(1,66)",-0.19609362,-3,3,6.8499649e-08,""
123,"region_rec_diffs(1,67)",0.30833487,-3,3,-9.1116532e-06,""
124,"region_rec_diffs(1,68)",1.0762556,-3,3,1.0590238e-06,""
125,"region_rec_diffs(1,69)",-1.6358182,-3,3,1.7734283e-06,""
126,"region_rec_diffs(1,70)",-0.55857611,-3,3,-8.6449015e-06,""
127,"region_rec_diffs(1,71)",0.42481202,-3,3,-1.5287748e-05,""
128,"region_rec_diffs(1,72)",0.98519337,-3,3,-2.9468768e-06,""
129,"region_rec_diffs(1,73)",-0.88211851,-3,3,-1.7748866e-05,""
130,"region_rec_diffs(1,74)",0.20592585,-3,3,1.2592591e-05,""
131,"region_rec_diffs(1,75)",-0.68430401,-3,3,3.144389e-06,""
132,"region_rec_diffs(1,76)",-1.3666259,-3,3,-2.1544531e-05,""
133,"region_rec_diffs(1,77)",-0.041474407,-3,3,2.5407871e-06,""
134,"region_rec_diffs(1,78)",-0.72643085,-3,3,2.4568822e-06,""
135,"region_rec_diffs(1,79)",0.26207305,-3,3,4.2365738e-06,""
136,"region_rec_diffs(1,80)",0.92552575,-3,3,-4.4067592e-06,""
137,"region_rec_diffs(1,81)",-1.6344744,-3,3,-1.3448054e-06,""
138,"region_rec_diffs(1,82)",0.82608332,-3,3,7.9359484e-07,""
139,"region_rec_diffs(1,83)",-0.46233218,-3,3,9.3122613e-06,""
