year,season,f
2012,4,0.08149
2013,4,0.07627
2014,4,0.07448
2015,4,0.07047
2016,4,0.09092
2017,4,0.0636
2018,4,0.07968
2019,4,0.067
2020,4,0.0685
2021,4,0.05748
2022,4,0.07784
2023,4,0.09155
2024,4,0.09718
