year,season,area,sb
2012,4,1,49779
2013,4,1,48406
2014,4,1,61809
2015,4,1,69925
2016,4,1,67930
2017,4,1,68132
2018,4,1,77487
2019,4,1,90995
2020,4,1,91953
2021,4,1,80650
2022,4,1,74009
2023,4,1,60050
2024,4,1,37135
1952,1,2,260470
1953,1,2,270150
1954,1,2,273660
1955,1,2,276970
1956,1,2,277760
1957,1,2,277680
1958,1,2,287470
1959,1,2,285030
1960,1,2,265040
1961,1,2,245430
1962,1,2,234930
1963,1,2,215440
1964,1,2,196840
1965,1,2,184880
1966,1,2,176170
1967,1,2,170740
1968,1,2,158280
1969,1,2,146200
1970,1,2,138640
1971,1,2,137090
1972,1,2,139810
1973,1,2,147570
1974,1,2,148770
1975,1,2,145860
1976,1,2,135720
1977,1,2,130350
1978,1,2,130550
1979,1,2,128600
1980,1,2,124440
1981,1,2,115690
1982,1,2,104790
1983,1,2,99983
1984,1,2,99460
1985,1,2,102920
1986,1,2,102040
1987,1,2,103410
1988,1,2,119140
1989,1,2,133320
1990,1,2,141470
1991,1,2,146750
1992,1,2,143110
1993,1,2,133160
1994,1,2,123730
1995,1,2,117830
1996,1,2,106470
1997,1,2,92626
1998,1,2,87959
1999,1,2,88980
2000,1,2,82617
2001,1,2,70712
2002,1,2,62652
2003,1,2,64174
2004,1,2,64103
2005,1,2,61460
2006,1,2,57999
2007,1,2,50460
2008,1,2,46437
2009,1,2,40001
2010,1,2,35645
2011,1,2,38830
2012,1,2,37674
2013,1,2,30278
2014,1,2,26791
2015,1,2,22359
2016,1,2,24682
2017,1,2,26019
2018,1,2,28873
2019,1,2,27851
2020,1,2,28700
2021,1,2,27514
2022,1,2,27300
2023,1,2,28906
2024,1,2,34251
1952,2,2,257740
1953,2,2,263570
1954,2,2,266360
1955,2,2,269830
1956,2,2,269140
1957,2,2,271740
1958,2,2,280060
1959,2,2,272950
1960,2,2,251090
1961,2,2,236490
1962,2,2,223470
1963,2,2,204590
1964,2,2,187450
1965,2,2,176370
1966,2,2,169970
1967,2,2,162700
1968,2,2,149730
1969,2,2,138800
1970,2,2,132760
1971,2,2,132320
1972,2,2,136290
1973,2,2,143300
1974,2,2,143690
1975,2,2,139220
1976,2,2,129270
1977,2,2,125400
1978,2,2,125890
1979,2,2,123520
1980,2,2,118200
1981,2,2,108460
1982,2,2,99303
1983,2,2,95526
1984,2,2,96435
1985,2,2,98837
1986,2,2,98046
1987,2,2,101340
1988,2,2,120210
1989,2,2,130990
1990,2,2,140020
1991,2,2,143030
1992,2,2,137120
1993,2,2,127360
1994,2,2,118440
1995,2,2,112500
1996,2,2,99333
1997,2,2,86783
1998,2,2,84332
1999,2,2,85388
2000,2,2,76140
2001,2,2,65437
2002,2,2,59518
2003,2,2,61094
2004,2,2,60600
2005,2,2,57345
2006,2,2,53775
2007,2,2,46420
2008,2,2,42025
2009,2,2,35608
2010,2,2,33208
2011,2,2,35830
2012,2,2,33523
2013,2,2,26910
2014,2,2,22451
2015,2,2,20073
2016,2,2,23279
2017,2,2,24907
2018,2,2,26215
2019,2,2,26017
2020,2,2,25856
2021,2,2,24983
2022,2,2,24624
2023,2,2,28003
2024,2,2,30296
1952,3,2,254340
1953,3,2,259290
1954,3,2,261500
1955,3,2,264830
1956,3,2,263110
1957,3,2,268530
1958,3,2,273440
1959,3,2,261770
1960,3,2,238600
1961,3,2,228880
1962,3,2,213410
1963,3,2,194840
1964,3,2,179470
1965,3,2,169310
1966,3,2,164910
1967,3,2,155580
1968,3,2,142260
1969,3,2,132630
1970,3,2,128260
1971,3,2,128590
1972,3,2,133900
1973,3,2,138930
1974,3,2,139040
1975,3,2,131940
1976,3,2,123000
1977,3,2,120330
1978,3,2,120750
1979,3,2,117750
1980,3,2,111810
1981,3,2,101310
1982,3,2,94069
1983,3,2,91137
1984,3,2,93056
1985,3,2,93960
1986,3,2,93893
1987,3,2,100600
1988,3,2,119680
1989,3,2,127920
1990,3,2,136370
1991,3,2,136650
1992,3,2,130270
1993,3,2,119590
1994,3,2,111410
1995,3,2,104900
1996,3,2,90438
1997,3,2,80519
1998,3,2,80117
1999,3,2,80073
2000,3,2,69336
2001,3,2,59508
2002,3,2,56585
2003,3,2,57684
2004,3,2,57265
2005,3,2,53960
2006,3,2,49070
2007,3,2,42718
2008,3,2,37743
2009,3,2,31985
2010,3,2,31412
2011,3,2,33390
2012,3,2,29625
2013,3,2,24007
2014,3,2,19229
2015,3,2,18594
2016,3,2,21601
2017,3,2,24141
2018,3,2,24382
2019,3,2,25095
2020,3,2,24079
2021,3,2,23441
2022,3,2,24172
2023,3,2,27562
2024,3,2,26131
1952,4,2,273370
1953,4,2,277880
1954,4,2,280330
1955,4,2,282650
1956,4,2,280840
1957,4,2,290240
1958,4,2,292230
1959,4,2,275460
1960,4,2,251650
1961,4,2,242390
1962,4,2,224010
1963,4,2,205270
1964,4,2,190970
1965,4,2,180980
1966,4,2,176700
1967,4,2,165070
1968,4,2,151950
1969,4,2,143400
1970,4,2,140270
1971,4,2,141790
1972,4,2,148910
1973,4,2,151340
1974,4,2,149930
1975,4,2,141070
1976,4,2,133730
1977,4,2,132850
1978,4,2,132240
1979,4,2,128550
1980,4,2,120890
1981,4,2,109220
1982,4,2,103090
1983,4,2,101360
1984,4,2,105000
1985,4,2,105070
1986,4,2,105310
1987,4,2,116320
1988,4,2,133280
1989,4,2,140680
1990,4,2,147550
1991,4,2,146100
1992,4,2,138010
1993,4,2,127390
1994,4,2,120860
1995,4,2,111160
1996,4,2,97566
1997,4,2,91051
1998,4,2,91632
1999,4,2,87576
2000,4,2,75345
2001,4,2,66338
2002,4,2,65830
2003,4,2,65709
2004,4,2,64474
2005,4,2,59961
2006,4,2,53341
2007,4,2,48710
2008,4,2,43264
2009,4,2,38067
2010,4,2,39358
2011,4,2,39624
2012,4,2,33237
2013,4,2,28758
2014,4,2,24509
2015,4,2,25757
2016,4,2,28202
2017,4,2,30137
2018,4,2,29536
2019,4,2,30646
2020,4,2,29273
2021,4,2,28954
2022,4,2,30357
2023,4,2,34642
2024,4,2,29377
1952,1,3,226900
1953,1,3,224060
1954,1,3,225510
1955,1,3,231330
1956,1,3,227860
1957,1,3,231890
1958,1,3,246670
1959,1,3,245750
1960,1,3,226730
1961,1,3,208350
1962,1,3,196220
1963,1,3,187030
1964,1,3,177880
1965,1,3,172870
1966,1,3,163660
1967,1,3,157250
1968,1,3,149960
1969,1,3,149060
1970,1,3,145270
1971,1,3,144520
1972,1,3,150280
1973,1,3,147590
1974,1,3,140970
1975,1,3,137220
1976,1,3,139900
1977,1,3,136300
1978,1,3,138410
1979,1,3,139830
1980,1,3,134610
1981,1,3,122170
1982,1,3,115670
1983,1,3,112860
1984,1,3,118400
1985,1,3,125950
1986,1,3,124730
1987,1,3,127530
1988,1,3,125610
1989,1,3,124630
1990,1,3,126250
1991,1,3,125620
1992,1,3,131240
1993,1,3,123740
1994,1,3,121500
1995,1,3,115770
1996,1,3,110520
1997,1,3,120960
1998,1,3,126730
1999,1,3,118240
2000,1,3,100630
2001,1,3,97289
2002,1,3,96448
2003,1,3,91632
2004,1,3,89197
2005,1,3,78622
2006,1,3,71669
2007,1,3,72239
2008,1,3,73715
2009,1,3,76620
2010,1,3,72537
2011,1,3,73686
2012,1,3,66636
2013,1,3,60681
2014,1,3,63161
2015,1,3,65357
2016,1,3,69888
2017,1,3,69741
2018,1,3,65230
2019,1,3,59025
2020,1,3,58216
2021,1,3,60987
2022,1,3,60860
2023,1,3,61793
2024,1,3,61985
1952,2,3,226190
1953,2,3,229520
1954,2,3,231940
1955,2,3,235760
1956,2,3,231580
1957,2,3,240590
1958,2,3,251630
1959,2,3,243600
1960,2,3,222660
1961,2,3,208360
1962,2,3,195420
1963,2,3,187910
1964,2,3,177590
1965,2,3,171870
1966,2,3,165970
1967,2,3,159620
1968,2,3,153020
1969,2,3,153970
1970,2,3,150870
1971,2,3,150530
1972,2,3,154980
1973,2,3,150190
1974,2,3,143130
1975,2,3,139030
1976,2,3,140900
1977,2,3,136170
1978,2,3,140420
1979,2,3,139340
1980,2,3,132520
1981,2,3,120670
1982,2,3,115800
1983,2,3,114150
1984,2,3,122200
1985,2,3,128090
1986,2,3,125780
1987,2,3,127720
1988,2,3,125070
1989,2,3,124630
1990,2,3,126210
1991,2,3,127530
1992,2,3,130050
1993,2,3,123800
1994,2,3,121350
1995,2,3,112520
1996,2,3,111690
1997,2,3,127870
1998,2,3,125560
1999,2,3,119040
2000,2,3,102970
2001,2,3,100150
2002,2,3,97353
2003,2,3,91195
2004,2,3,89038
2005,2,3,76726
2006,2,3,74322
2007,2,3,74450
2008,2,3,76042
2009,2,3,75575
2010,2,3,69999
2011,2,3,70801
2012,2,3,64968
2013,2,3,60328
2014,2,3,64049
2015,2,3,66409
2016,2,3,69540
2017,2,3,68530
2018,2,3,64512
2019,2,3,58392
2020,2,3,57879
2021,2,3,62989
2022,2,3,61962
2023,2,3,62469
2024,2,3,60590
1952,3,3,230590
1953,3,3,233350
1954,3,3,236490
1955,3,3,237840
1956,3,3,234740
1957,3,3,249190
1958,3,3,254840
1959,3,3,242830
1960,3,3,221320
1961,3,3,208680
1962,3,3,196500
1963,3,3,189960
1964,3,3,179870
1965,3,3,171830
1966,3,3,166340
1967,3,3,159130
1968,3,3,154240
1969,3,3,153590
1970,3,3,151330
1971,3,3,152040
1972,3,3,155820
1973,3,3,149660
1974,3,3,143850
1975,3,3,142290
1976,3,3,140950
1977,3,3,139850
1978,3,3,143250
1979,3,3,140010
1980,3,3,131200
1981,3,3,119940
1982,3,3,116360
1983,3,3,116600
1984,3,3,126610
1985,3,3,129730
1986,3,3,128210
1987,3,3,128360
1988,3,3,127150
1989,3,3,126760
1990,3,3,129460
1991,3,3,131830
1992,3,3,128490
1993,3,3,124180
1994,3,3,121640
1995,3,3,113070
1996,3,3,114460
1997,3,3,130410
1998,3,3,124250
1999,3,3,115120
2000,3,3,101850
2001,3,3,99487
2002,3,3,96889
2003,3,3,92957
2004,3,3,87822
2005,3,3,76313
2006,3,3,74973
2007,3,3,74573
2008,3,3,76914
2009,3,3,74405
2010,3,3,71210
2011,3,3,69242
2012,3,3,62393
2013,3,3,60527
2014,3,3,63998
2015,3,3,67085
2016,3,3,71239
2017,3,3,68132
2018,3,3,63216
2019,3,3,58036
2020,3,3,58738
2021,3,3,61583
2022,3,3,62116
2023,3,3,62779
2024,3,3,60967
1952,4,3,217610
1953,4,3,218480
1954,4,3,223240
1955,4,3,222550
1956,4,3,221870
1957,4,3,238010
1958,4,3,239190
1959,4,3,224750
1960,4,3,204490
1961,4,3,192910
1962,4,3,182110
1963,4,3,175210
1964,4,3,168010
1965,4,3,159000
1966,4,3,153720
1967,4,3,146760
1968,4,3,143980
1969,4,3,141360
1970,4,3,139900
1971,4,3,143050
1972,4,3,143960
1973,4,3,137930
1974,4,3,133160
1975,4,3,133630
1976,4,3,131320
1977,4,3,131360
1978,4,3,134210
1979,4,3,129110
1980,4,3,118720
1981,4,3,110960
1982,4,3,108440
1983,4,3,110340
1984,4,3,118680
1985,4,3,119780
1986,4,3,119960
1987,4,3,119220
1988,4,3,117810
1989,4,3,119420
1990,4,3,118850
1991,4,3,122620
1992,4,3,115590
1993,4,3,112300
1994,4,3,109660
1995,4,3,102940
1996,4,3,108230
1997,4,3,120370
1998,4,3,111830
1999,4,3,98815
