year,season,area,sb
1960,4,5,169120
1961,4,5,160380
1962,4,5,150760
1963,4,5,145640
1964,4,5,136800
1965,4,5,130360
1966,4,5,126360
1967,4,5,120270
1968,4,5,117160
1969,4,5,116270
1970,4,5,113060
1971,4,5,113480
1972,4,5,119080
1973,4,5,111390
1974,4,5,109670
1975,4,5,117500
1976,4,5,114390
1977,4,5,114620
1978,4,5,114160
1979,4,5,111030
1980,4,5,105120
1981,4,5,94968
1982,4,5,94643
1983,4,5,100570
1984,4,5,109470
1985,4,5,112040
1986,4,5,111990
1987,4,5,118100
1988,4,5,115220
1989,4,5,114130
1990,4,5,126150
1991,4,5,136360
1992,4,5,140570
1993,4,5,137470
1994,4,5,142830
1995,4,5,131240
1996,4,5,131730
1997,4,5,139590
1998,4,5,134970
1999,4,5,122250
2000,4,5,118740
2001,4,5,108280
2002,4,5,113020
2003,4,5,111890
2004,4,5,113560
2005,4,5,103150
2006,4,5,109520
2007,4,5,113550
2008,4,5,104620
2009,4,5,97711
2010,4,5,93498
2011,4,5,92944
2012,4,5,86479
2013,4,5,83750
2014,4,5,89962
2015,4,5,93591
2016,4,5,86081
2017,4,5,78677
2018,4,5,73347
2019,4,5,69639
2020,4,5,69324
2021,4,5,79177
2022,4,5,83304
2023,4,5,78963
2024,4,5,74183
