year,season,fishery,area,catch
2021,1,5,2,2493.18
2022,1,5,2,2920.42
2023,1,5,2,869.758
2024,1,5,2,551.898
1952,1,6,3,42.7316
1953,1,6,3,127.984
1954,1,6,3,148.908
1955,1,6,3,78.6738
1956,1,6,3,193.123
1957,1,6,3,331.84
1958,1,6,3,410.883
1959,1,6,3,55.528
1960,1,6,3,138.646
1961,1,6,3,202.747
1962,1,6,3,390.295
1963,1,6,3,107.634
1964,1,6,3,91.8265
1965,1,6,3,47.8167
1966,1,6,3,51.4182
1967,1,6,3,66.7917
1968,1,6,3,104.717
1969,1,6,3,42.1167
1970,1,6,3,6.51869
1971,1,6,3,27.5894
1972,1,6,3,18.5362
1973,1,6,3,301.705
1974,1,6,3,58.409
1975,1,6,3,22.9673
1976,1,6,3,182.035
1977,1,6,3,218.31
1978,1,6,3,168.405
1979,1,6,3,171.587
1980,1,6,3,703.396
1981,1,6,3,570.592
1982,1,6,3,288.692
1983,1,6,3,392.49
1984,1,6,3,279.856
1985,1,6,3,300.669
1986,1,6,3,383.285
1987,1,6,3,180.175
1988,1,6,3,244.135
1989,1,6,3,31.0047
1990,1,6,3,10.4446
1991,1,6,3,393.209
1992,1,6,3,27.7369
1993,1,6,3,0
1994,1,6,3,12.6295
1995,1,6,3,302.403
1996,1,6,3,49.6343
1997,1,6,3,133.545
1998,1,6,3,150.657
1999,1,6,3,79.9521
2000,1,6,3,60.6835
2001,1,6,3,57.7151
2002,1,6,3,159.321
2003,1,6,3,238.93
2004,1,6,3,71.7685
2005,1,6,3,47.9427
2006,1,6,3,75.0517
2007,1,6,3,84.8848
2008,1,6,3,109.719
2009,1,6,3,144.049
2010,1,6,3,84.9477
2011,1,6,3,165.043
2012,1,6,3,149.886
2013,1,6,3,51.1385
2014,1,6,3,120.781
2015,1,6,3,48.389
2016,1,6,3,144.317
2017,1,6,3,65.6647
2018,1,6,3,69.3968
2019,1,6,3,238.087
2020,1,6,3,100.222
2021,1,6,3,96.9497
2022,1,6,3,188.157
2023,1,6,3,166.371
2024,1,6,3,202.164
1952,1,7,3,1216.61
1953,1,7,3,2521.85
1954,1,7,3,1001.02
1955,1,7,3,1687.96
1956,1,7,3,1959.16
1957,1,7,3,4938.31
1958,1,7,3,5575.45
1959,1,7,3,6424.77
1960,1,7,3,3690.38
1961,1,7,3,2771.94
1962,1,7,3,2215.5
1963,1,7,3,3030.51
1964,1,7,3,3469.17
1965,1,7,3,3950.08
1966,1,7,3,3270.29
1967,1,7,3,2846.01
1968,1,7,3,2443.99
1969,1,7,3,3888.8
1970,1,7,3,2236.08
1971,1,7,3,2511.06
1972,1,7,3,6448.66
1973,1,7,3,2652.66
1974,1,7,3,2040.53
1975,1,7,3,5363.16
1976,1,7,3,3367.19
1977,1,7,3,5997.52
1978,1,7,3,3757.19
1979,1,7,3,4502.75
1980,1,7,3,5898.86
1981,1,7,3,2859.14
1982,1,7,3,3593.73
1983,1,7,3,4280.61
1984,1,7,3,3845.04
1985,1,7,3,4648.72
1986,1,7,3,2987.1
1987,1,7,3,4928.53
1988,1,7,3,3643.41
1989,1,7,3,2965.4
1990,1,7,3,7648.07
1991,1,7,3,2961.86
1992,1,7,3,6295.31
1993,1,7,3,2566.2
1994,1,7,3,2932.84
1995,1,7,3,3358.82
1996,1,7,3,2714.98
1997,1,7,3,3377.39
1998,1,7,3,6793.35
1999,1,7,3,4035.99
2000,1,7,3,3349.78
2001,1,7,3,2888.8
2002,1,7,3,5247.37
2003,1,7,3,4336.1
2004,1,7,3,4174.84
2005,1,7,3,5072.25
2006,1,7,3,2385.86
2007,1,7,3,3043.78
2008,1,7,3,2816.67
2009,1,7,3,4699.2
2010,1,7,3,4560.92
2011,1,7,3,2859.31
2012,1,7,3,3754.43
2013,1,7,3,2842.45
2014,1,7,3,2691.94
2015,1,7,3,4271.68
2016,1,7,3,3370.81
2017,1,7,3,2146.09
2018,1,7,3,1947.99
2019,1,7,3,2353.69
2020,1,7,3,3497.28
2021,1,7,3,331.215
2022,1,7,3,1683.83
2023,1,7,3,1368.52
2024,1,7,3,2182.82
1952,1,8,4,45.1096
1953,1,8,4,356.996
1954,1,8,4,136.806
1955,1,8,4,333.679
1956,1,8,4,2677
1957,1,8,4,660.038
1958,1,8,4,4675.61
1959,1,8,4,1911.29
1960,1,8,4,1460.76
1961,1,8,4,3324.52
1962,1,8,4,1410.66
1963,1,8,4,2300.48
1964,1,8,4,5409.12
1965,1,8,4,1981.37
1966,1,8,4,2586.87
1967,1,8,4,2076.14
1968,1,8,4,1589.76
1969,1,8,4,3106.65
1970,1,8,4,2338.51
1971,1,8,4,2730.82
1972,1,8,4,1482.48
1973,1,8,4,3312.8
1974,1,8,4,1895.01
1975,1,8,4,2446.92
1976,1,8,4,3267.6
1977,1,8,4,4547.83
1978,1,8,4,2590.92
1979,1,8,4,3405.74
1980,1,8,4,5271.8
1981,1,8,4,1083.27
1982,1,8,4,2743.91
1983,1,8,4,4288.83
1984,1,8,4,4476.72
1985,1,8,4,7424.96
1986,1,8,4,1940.37
1987,1,8,4,6473.34
1988,1,8,4,3878.24
1989,1,8,4,2487.03
1990,1,8,4,3476.7
1991,1,8,4,2161.82
1992,1,8,4,6792.99
1993,1,8,4,2889.42
1994,1,8,4,3265.29
1995,1,8,4,4727.33
1996,1,8,4,2789.82
1997,1,8,4,3091.12
1998,1,8,4,12900.4
1999,1,8,4,4369.46
2000,1,8,4,6815.81
2001,1,8,4,3853.51
2002,1,8,4,6007.4
2003,1,8,4,7498.29
2004,1,8,4,6213.23
2005,1,8,4,5571.8
2006,1,8,4,5939.27
2007,1,8,4,6931.03
2008,1,8,4,4699.22
2009,1,8,4,4244.81
2010,1,8,4,5343.56
2011,1,8,4,2721.62
2012,1,8,4,3257.34
2013,1,8,4,2397.07
2014,1,8,4,4302.12
2015,1,8,4,4426.15
2016,1,8,4,3904.52
2017,1,8,4,2237.76
2018,1,8,4,2250.72
2019,1,8,4,4574.72
2020,1,8,4,2318.29
2021,1,8,4,1241.65
2022,1,8,4,2527.81
2023,1,8,4,3392.53
2024,1,8,4,4629.24
1952,1,9,3,0
1953,1,9,3,0
1954,1,9,3,0
1955,1,9,3,0
1956,1,9,3,0
1957,1,9,3,0
1958,1,9,3,0
1959,1,9,3,0
1960,1,9,3,0
1961,1,9,3,0
1962,1,9,3,0
1963,1,9,3,0
1964,1,9,3,0
1965,1,9,3,0
1966,1,9,3,0
1967,1,9,3,0
1968,1,9,3,0
1969,1,9,3,0
1970,1,9,3,0
1971,1,9,3,0
1972,1,9,3,0
1973,1,9,3,0
1974,1,9,3,0
1975,1,9,3,0
1976,1,9,3,0
1977,1,9,3,0
1978,1,9,3,0
1979,1,9,3,0
1980,1,9,3,0
1981,1,9,3,0
1982,1,9,3,0
1983,1,9,3,0
1984,1,9,3,0
1985,1,9,3,0
1986,1,9,3,0
1987,1,9,3,0
1988,1,9,3,3.3828
1989,1,9,3,3.36812
1990,1,9,3,249.181
1991,1,9,3,134.706
1992,1,9,3,202.975
1993,1,9,3,375.777
1994,1,9,3,1776.66
1995,1,9,3,2577.72
1996,1,9,3,1701.76
1997,1,9,3,810.162
1998,1,9,3,2401.54
1999,1,9,3,1469.65
2000,1,9,3,1016.48
2001,1,9,3,2193.22
2002,1,9,3,720.333
2003,1,9,3,1391.04
2004,1,9,3,910.246
2005,1,9,3,576.189
2006,1,9,3,606.534
2007,1,9,3,1495.29
2008,1,9,3,1327.03
2009,1,9,3,1934.45
2010,1,9,3,2133.49
2011,1,9,3,1438.32
2012,1,9,3,2067.19
2013,1,9,3,2542.63
2014,1,9,3,2010.91
2015,1,9,3,2540.06
2016,1,9,3,2090.7
2017,1,9,3,1888.25
2018,1,9,3,2912.34
2019,1,9,3,2465.03
2020,1,9,3,2036.84
2021,1,9,3,953.759
2022,1,9,3,1592.84
2023,1,9,3,1768.18
2024,1,9,3,1829.44
1952,1,10,5,0
1953,1,10,5,73.5136
1954,1,10,5,230.504
1955,1,10,5,155.101
1956,1,10,5,48.6395
1957,1,10,5,219.519
1958,1,10,5,159.614
1959,1,10,5,180.264
1960,1,10,5,93.1352
1961,1,10,5,85.6074
1962,1,10,5,366.445
1963,1,10,5,176.502
1964,1,10,5,297.399
1965,1,10,5,208.757
1966,1,10,5,314.781
1967,1,10,5,298.908
1968,1,10,5,215.197
1969,1,10,5,709.343
1970,1,10,5,404.103
1971,1,10,5,901.797
1972,1,10,5,803.645
1973,1,10,5,656.351
1974,1,10,5,986.489
1975,1,10,5,254.648
1976,1,10,5,416.376
1977,1,10,5,534.721
1978,1,10,5,472.712
1979,1,10,5,457.054
1980,1,10,5,351.892
1981,1,10,5,604.729
1982,1,10,5,683.73
1983,1,10,5,295.067
1984,1,10,5,278.917
1985,1,10,5,207.588
1986,1,10,5,504.819
1987,1,10,5,132.197
1988,1,10,5,292.448
1989,1,10,5,132.285
1990,1,10,5,259.971
1991,1,10,5,222.842
1992,1,10,5,123.703
1993,1,10,5,214.951
1994,1,10,5,421.143
1995,1,10,5,446.342
1996,1,10,5,523.157
1997,1,10,5,449.587
1998,1,10,5,659.86
1999,1,10,5,657.727
2000,1,10,5,721.114
2001,1,10,5,837.981
2002,1,10,5,1007.44
2003,1,10,5,1202.81
2004,1,10,5,1055.58
2005,1,10,5,764.939
2006,1,10,5,774.493
2007,1,10,5,767.217
2008,1,10,5,1132.72
2009,1,10,5,901.295
2010,1,10,5,1061.33
2011,1,10,5,1151.55
2012,1,10,5,1013.78
2013,1,10,5,1003.64
2014,1,10,5,846.05
2015,1,10,5,835.073
2016,1,10,5,788.401
2017,1,10,5,918.465
2018,1,10,5,733.149
2019,1,10,5,919
2020,1,10,5,671.21
2021,1,10,5,844.948
2022,1,10,5,700.536
2023,1,10,5,1257.99
2024,1,10,5,816.931
1952,1,11,5,0
1953,1,11,5,0
1954,1,11,5,0
1955,1,11,5,0
1956,1,11,5,0
1957,1,11,5,0
1958,1,11,5,0
1959,1,11,5,0
1960,1,11,5,0
1961,1,11,5,0
1962,1,11,5,0
1963,1,11,5,0
1964,1,11,5,0
1965,1,11,5,0
1966,1,11,5,0
1967,1,11,5,0
1968,1,11,5,0
1969,1,11,5,0
1970,1,11,5,0
1971,1,11,5,0
1972,1,11,5,0
1973,1,11,5,0
1974,1,11,5,0
1975,1,11,5,0
1976,1,11,5,0
1977,1,11,5,0
1978,1,11,5,0
1979,1,11,5,0
1980,1,11,5,0
1981,1,11,5,0
1982,1,11,5,0
1983,1,11,5,0
1984,1,11,5,0
1985,1,11,5,0
1986,1,11,5,0
1987,1,11,5,21.1294
1988,1,11,5,10.2457
1989,1,11,5,0.553056
1990,1,11,5,2.15469
1991,1,11,5,2.58162
1992,1,11,5,4.51674
1993,1,11,5,2.67668
1994,1,11,5,12.8125
1995,1,11,5,35.7784
1996,1,11,5,31.7346
1997,1,11,5,144.869
1998,1,11,5,278.313
1999,1,11,5,174.763
2000,1,11,5,134.608
2001,1,11,5,221.107
2002,1,11,5,232.044
2003,1,11,5,292.613
2004,1,11,5,107.827
2005,1,11,5,184.477
2006,1,11,5,93.2521
2007,1,11,5,125.48
2008,1,11,5,179.953
2009,1,11,5,81.0395
2010,1,11,5,71.6854
2011,1,11,5,51.3372
2012,1,11,5,78.6755
2013,1,11,5,87.2196
2014,1,11,5,73.6111
2015,1,11,5,127.017
2016,1,11,5,174.059
2017,1,11,5,69.8501
2018,1,11,5,69.8671
2019,1,11,5,52.4234
2020,1,11,5,53.8129
2021,1,11,5,66.1952
2022,1,11,5,66.736
2023,1,11,5,43.7238
2024,1,11,5,56.4204
1952,1,12,1,259.758
1953,1,12,1,154.749
1954,1,12,1,89.988
1955,1,12,1,71.229
1956,1,12,1,226.98
1957,1,12,1,12.291
1958,1,12,1,12.003
1959,1,12,1,8.985
1960,1,12,1,14.52
1961,1,12,1,15.741
1962,1,12,1,43.197
1963,1,12,1,1.509
1964,1,12,1,57.717
1965,1,12,1,50.241
1966,1,12,1,2.229
1967,1,12,1,15.021
1968,1,12,1,45.783
1969,1,12,1,12.003
1970,1,12,1,21.276
1971,1,12,1,7.476
1972,1,12,1,0
1973,1,12,1,1.008
1974,1,12,1,6.255
1975,1,12,1,1.221
1976,1,12,1,4.527
1977,1,12,1,2.517
1978,1,12,1,4.239
1979,1,12,1,11.715
1980,1,12,1,0
1981,1,12,1,0
1982,1,12,1,4.746
1983,1,12,1,1.509
1984,1,12,1,6.756
1985,1,12,1,17.751
1986,1,12,1,5.247
1987,1,12,1,22.406
1988,1,12,1,18.073
1989,1,12,1,48.943
1990,1,12,1,14.54
1991,1,12,1,6.255
1992,1,12,1,8.003
1993,1,12,1,7.257
1994,1,12,1,0.72
1995,1,12,1,26.314
1996,1,12,1,0
1997,1,12,1,0.765
1998,1,12,1,13.633
1999,1,12,1,5.862
2000,1,12,1,0
2001,1,12,1,5.459
2002,1,12,1,0.501
2003,1,12,1,0
2004,1,12,1,30.791
2005,1,12,1,2.517
2006,1,12,1,13.011
2007,1,12,1,3.018
2008,1,12,1,1.008
2009,1,12,1,0
2010,1,12,1,33.78
2011,1,12,1,0
2012,1,12,1,0
2013,1,12,1,10.958
2014,1,12,1,0
2015,1,12,1,0
2016,1,12,1,0.798
2017,1,12,1,0
2018,1,12,1,0
2019,1,12,1,0
2020,1,12,1,0
2021,1,12,1,0
2022,1,12,1,0
2023,1,12,1,1101.81
2024,1,12,1,0
1952,1,13,1,14.239
1953,1,13,1,16.272
1954,1,13,1,14.239
1955,1,13,1,27.12
1956,1,13,1,29.834
1957,1,13,1,35.256
1958,1,13,1,28.478
1959,1,13,1,11.527
1960,1,13,1,5.63
1961,1,13,1,6.756
1962,1,13,1,3.002
1963,1,13,1,6.756
1964,1,13,1,4.29
1965,1,13,1,4.706
1966,1,13,1,4.158
1967,1,13,1,10.521
1968,1,13,1,8.527
1969,1,13,1,424.994
1970,1,13,1,403.236
1971,1,13,1,236.256
1972,1,13,1,51.856
1973,1,13,1,50.555
1974,1,13,1,36.947
1975,1,13,1,48.09
1976,1,13,1,114.884
1977,1,13,1,68.939
1978,1,13,1,73.958
1979,1,13,1,49.454
1980,1,13,1,28.951
1981,1,13,1,92.04
1982,1,13,1,177.555
1983,1,13,1,70.423
1984,1,13,1,50.07
1985,1,13,1,292.58
1986,1,13,1,132.024
1987,1,13,1,161.479
1988,1,13,1,275.96
1989,1,13,1,499.092
1990,1,13,1,340.994
1991,1,13,1,210.356
1992,1,13,1,159.316
1993,1,13,1,118.164
1994,1,13,1,123.096
1995,1,13,1,251.843
1996,1,13,1,227.982
1997,1,13,1,218.013
1998,1,13,1,142.127
1999,1,13,1,185.131
2000,1,13,1,303.187
2001,1,13,1,101.74
2002,1,13,1,56.977
2003,1,13,1,42.539
2004,1,13,1,165.921
2005,1,13,1,157.171
2006,1,13,1,76.816
2007,1,13,1,101.639
2008,1,13,1,92.437
2009,1,13,1,99.013
2010,1,13,1,152.518
2011,1,13,1,37.717
2012,1,13,1,77.072
2013,1,13,1,117.972
2014,1,13,1,77.219
2015,1,13,1,50.695
2016,1,13,1,34.884
2017,1,13,1,145.578
2018,1,13,1,97.282
2019,1,13,1,40.724
2020,1,13,1,48.296
2021,1,13,1,88.932
2022,1,13,1,57.432
2023,1,13,1,146.336
2024,1,13,1,130.236
1952,1,14,2,0
1953,1,14,2,0
1954,1,14,2,0
1955,1,14,2,0
1956,1,14,2,0
1957,1,14,2,0
1958,1,14,2,0
1959,1,14,2,0
1960,1,14,2,0
1961,1,14,2,0
1962,1,14,2,0
1963,1,14,2,0
1964,1,14,2,0
1965,1,14,2,0
1966,1,14,2,0
1967,1,14,2,0
1968,1,14,2,0
1969,1,14,2,0
1970,1,14,2,0
1971,1,14,2,0
1972,1,14,2,0
1973,1,14,2,0
1974,1,14,2,0
1975,1,14,2,0
1976,1,14,2,0
1977,1,14,2,0
1978,1,14,2,0
1979,1,14,2,0
1980,1,14,2,0
1981,1,14,2,0
1982,1,14,2,0
1983,1,14,2,0
1984,1,14,2,21.999
1985,1,14,2,24
1986,1,14,2,24.999
1987,1,14,2,28.251
1988,1,14,2,33.501
1989,1,14,2,36.501
1990,1,14,2,41.751
1991,1,14,2,42.75
1992,1,14,2,48.999
1993,1,14,2,45
1994,1,14,2,50.001
1995,1,14,2,53.25
1996,1,14,2,82.5
1997,1,14,2,61.5
1998,1,14,2,81
1999,1,14,2,77.001
2000,1,14,2,81.999
2001,1,14,2,75.249
2002,1,14,2,72.501
2003,1,14,2,74.001
2004,1,14,2,97.251
2005,1,14,2,20.751
2006,1,14,2,21.501
2007,1,14,2,18.501
2008,1,14,2,26.499
2009,1,14,2,38.751
2010,1,14,2,54.501
2011,1,14,2,111
2012,1,14,2,307.749
2013,1,14,2,117.75
2014,1,14,2,519.75
2015,1,14,2,705.999
2016,1,14,2,471.501
2017,1,14,2,115.749
2018,1,14,2,158.499
2019,1,14,2,171
2020,1,14,2,189
2021,1,14,2,234
2022,1,14,2,210
2023,1,14,2,210
2024,1,14,2,3630
1952,1,15,2,0
1953,1,15,2,0
1954,1,15,2,0
1955,1,15,2,0
1956,1,15,2,0
1957,1,15,2,0
1958,1,15,2,0
1959,1,15,2,0
1960,1,15,2,0
1961,1,15,2,0
1962,1,15,2,0
1963,1,15,2,0
1964,1,15,2,0
1965,1,15,2,0
1966,1,15,2,0
1967,1,15,2,0
1968,1,15,2,0
1969,1,15,2,0
1970,1,15,2,29.754
1971,1,15,2,33.249
1972,1,15,2,34.5
1973,1,15,2,41.256
1974,1,15,2,47.754
1975,1,15,2,48.756
1976,1,15,2,41.256
1977,1,15,2,58.254
1978,1,15,2,35.256
1979,1,15,2,45.249
1980,1,15,2,41.256
1981,1,15,2,45.498
1982,1,15,2,42
1983,1,15,2,45.756
1984,1,15,2,43.749
1985,1,15,2,50.256
1986,1,15,2,51
1987,1,15,2,37.254
1988,1,15,2,45.249
1989,1,15,2,49.254
1990,1,15,2,69.498
1991,1,15,2,82.002
1992,1,15,2,34.254
1993,1,15,2,37.254
1994,1,15,2,67.749
1995,1,15,2,78.498
1996,1,15,2,78.498
1997,1,15,2,132.756
1998,1,15,2,100.254
1999,1,15,2,43.749
2000,1,15,2,127.5
2001,1,15,2,87.249
2002,1,15,2,84
2003,1,15,2,118.002
2004,1,15,2,65.754
2005,1,15,2,167.502
2006,1,15,2,138.756
2007,1,15,2,130.254
2008,1,15,2,159.249
2009,1,15,2,82.5
2010,1,15,2,70.998
2011,1,15,2,56.256
2012,1,15,2,127.002
2013,1,15,2,191.754
2014,1,15,2,178.254
2015,1,15,2,185.754
2016,1,15,2,212.502
2017,1,15,2,323.502
2018,1,15,2,117
2019,1,15,2,243.756
2020,1,15,2,261
2021,1,15,2,141
2022,1,15,2,156
2023,1,15,2,186
2024,1,15,2,600
1952,1,16,2,0
1953,1,16,2,0
1954,1,16,2,0
1955,1,16,2,0
1956,1,16,2,0
1957,1,16,2,0
1958,1,16,2,0
1959,1,16,2,0
1960,1,16,2,0
1961,1,16,2,0
1962,1,16,2,0
1963,1,16,2,0
1964,1,16,2,0
1965,1,16,2,0
1966,1,16,2,0
1967,1,16,2,0
1968,1,16,2,0
1969,1,16,2,0
1970,1,16,2,0
1971,1,16,2,0
1972,1,16,2,27.3
1973,1,16,2,27.4
1974,1,16,2,21.7
1975,1,16,2,3.6
1976,1,16,2,14.729
1977,1,16,2,20.802
1978,1,16,2,29.413
1979,1,16,2,53.196
1980,1,16,2,220.052
1981,1,16,2,252.199
1982,1,16,2,286.937
1983,1,16,2,310.427
1984,1,16,2,335.23
1985,1,16,2,369.438
1986,1,16,2,375.738
1987,1,16,2,425.107
1988,1,16,2,505.085
1989,1,16,2,547.65
1990,1,16,2,631.719
1991,1,16,2,641.769
1992,1,16,2,740.294
1993,1,16,2,678.56
1994,1,16,2,750.818
1995,1,16,2,808.092
1996,1,16,2,1258.28
1997,1,16,2,929.04
1998,1,16,2,1218.22
1999,1,16,2,1156.32
2000,1,16,2,1230.27
2001,1,16,2,1132.04
2002,1,16,2,1088.16
2003,1,16,2,1109.76
2004,1,16,2,1462.66
2005,1,16,2,1381.29
2006,1,16,2,1490.61
2007,1,16,2,1320.49
2008,1,16,2,1899.57
2009,1,16,2,1583.76
2010,1,16,2,1161.31
2011,1,16,2,827.037
2012,1,16,2,454.378
2013,1,16,2,646.44
2014,1,16,2,519.307
2015,1,16,2,1227.76
2016,1,16,2,730.774
2017,1,16,2,208.023
2018,1,16,2,686.037
2019,1,16,2,240.705
2020,1,16,2,163.785
2021,1,16,2,136.467
2022,1,16,2,160.236
2023,1,16,2,215.641
2024,1,16,2,212.541
1952,1,17,2,0
1953,1,17,2,0
1954,1,17,2,0
1955,1,17,2,0
1956,1,17,2,0
1957,1,17,2,0
1958,1,17,2,0
1959,1,17,2,0
1960,1,17,2,0
1961,1,17,2,0
1962,1,17,2,0
1963,1,17,2,0
1964,1,17,2,0
1965,1,17,2,0
1966,1,17,2,0
1967,1,17,2,0
1968,1,17,2,0
1969,1,17,2,0
1970,1,17,2,0
1971,1,17,2,0
1972,1,17,2,0
1973,1,17,2,0
1974,1,17,2,0
1975,1,17,2,0
1976,1,17,2,0
1977,1,17,2,0
1978,1,17,2,0
1979,1,17,2,0
1980,1,17,2,1.7
1981,1,17,2,10.23
1982,1,17,2,11.1
1983,1,17,2,17.64
1984,1,17,2,19.2
1985,1,17,2,10.76
1986,1,17,2,21.75
1987,1,17,2,37.142
1988,1,17,2,24.287
1989,1,17,2,37.388
1990,1,17,2,48.311
1991,1,17,2,37.34
1992,1,17,2,42.92
1993,1,17,2,39.3
1994,1,17,2,43.62
1995,1,17,2,46.47
1996,1,17,2,72.12
1997,1,17,2,53.67
1998,1,17,2,70.83
1999,1,17,2,67.23
2000,1,17,2,71.55
2001,1,17,2,65.82
2002,1,17,2,63.27
2003,1,17,2,64.53
2004,1,17,2,84.99
2005,1,17,2,57.72
2006,1,17,2,62.67
2007,1,17,2,49.38
2008,1,17,2,79.68
2009,1,17,2,109.35
2010,1,17,2,76.46
2011,1,17,2,65.48
2012,1,17,2,72.77
2013,1,17,2,169.01
2014,1,17,2,77.03
2015,1,17,2,76.83
2016,1,17,2,119.18
2017,1,17,2,40.19
2018,1,17,2,49.06
2019,1,17,2,52.17
2020,1,17,2,88.218
2021,1,17,2,53.025
2022,1,17,2,111.958
2023,1,17,2,104.895
2024,1,17,2,91.278
1952,1,18,2,0
1953,1,18,2,0
1954,1,18,2,0
1955,1,18,2,0
1956,1,18,2,0
1957,1,18,2,0
1958,1,18,2,0
1959,1,18,2,0
1960,1,18,2,0
1961,1,18,2,0
1962,1,18,2,0
1963,1,18,2,0
1964,1,18,2,0
1965,1,18,2,0
1966,1,18,2,0
1967,1,18,2,0
1968,1,18,2,0
1969,1,18,2,0
1970,1,18,2,49.518
1971,1,18,2,51.996
1972,1,18,2,55.986
1973,1,18,2,65.394
1974,1,18,2,75.894
1975,1,18,2,76.608
1976,1,18,2,69.006
1977,1,18,2,118.398
1978,1,18,2,55.986
1979,1,18,2,71.82
1980,1,18,2,65.982
1981,1,18,2,166.404
1982,1,18,2,181.482
1983,1,18,2,219.786
1984,1,18,2,214.284
1985,1,18,2,183.582
1986,1,18,2,179.886
1987,1,18,2,179.382
1988,1,18,2,175.812
1989,1,18,2,203.616
1990,1,18,2,286.398
1991,1,18,2,262.92
1992,1,18,2,199.08
1993,1,18,2,113.61
1994,1,18,2,221.088
1995,1,18,2,282.618
1996,1,18,2,266.112
1997,1,18,2,465.192
1998,1,18,2,547.68
1999,1,18,2,270.004
2000,1,18,2,476.602
2001,1,18,2,386.61
2002,1,18,2,315.504
2003,1,18,2,436.223
2004,1,18,2,577.797
2005,1,18,2,742.182
2006,1,18,2,723.282
2007,1,18,2,696.486
2008,1,18,2,680.907
2009,1,18,2,428.905
2010,1,18,2,252.084
2011,1,18,2,123.592
2012,1,18,2,154.168
2013,1,18,2,119.49
2014,1,18,2,119.49
2015,1,18,2,247.254
2016,1,18,2,108.234
2017,1,18,2,263.508
2018,1,18,2,512.274
2019,1,18,2,622.272
2020,1,18,2,57.695
2021,1,18,2,19.619
2022,1,18,2,26.739
2023,1,18,2,128.894
2024,1,18,2,54.567
1952,1,19,2,0
1953,1,19,2,0
1954,1,19,2,0
1955,1,19,2,0
1956,1,19,2,0
1957,1,19,2,0
1958,1,19,2,0
1959,1,19,2,0
1960,1,19,2,0
1961,1,19,2,0
1962,1,19,2,0
1963,1,19,2,0
1964,1,19,2,0
1965,1,19,2,0
1966,1,19,2,0
1967,1,19,2,0
1968,1,19,2,0
1969,1,19,2,0
1970,1,19,2,0
1971,1,19,2,3.957
1972,1,19,2,16.624
1973,1,19,2,0
1974,1,19,2,5.435
1975,1,19,2,38.818
1976,1,19,2,48.91
1977,1,19,2,90.919
1978,1,19,2,154.729
1979,1,19,2,332.441
1980,1,19,2,187.035
1981,1,19,2,54.862
1982,1,19,2,83.714
1983,1,19,2,421.3
1984,1,19,2,154.662
1985,1,19,2,176.748
1986,1,19,2,32.267
1987,1,19,2,62.972
1988,1,19,2,22.622
1989,1,19,2,150.008
1990,1,19,2,65.822
1991,1,19,2,389.536
1992,1,19,2,466.93
1993,1,19,2,3.615
1994,1,19,2,9.636
1995,1,19,2,21.449
1996,1,19,2,28.732
1997,1,19,2,110.344
1998,1,19,2,28.422
1999,1,19,2,61.233
2000,1,19,2,17.577
2001,1,19,2,34.074
2002,1,19,2,6.573
2003,1,19,2,101.676
2004,1,19,2,21.033
2005,1,19,2,27.95
2006,1,19,2,27.07
2007,1,19,2,22.879
2008,1,19,2,44.178
2009,1,19,2,7.862
2010,1,19,2,0
2011,1,19,2,4.651
2012,1,19,2,4.458
2013,1,19,2,0
2014,1,19,2,0
2015,1,19,2,0
2016,1,19,2,0
2017,1,19,2,14.045
2018,1,19,2,0
2019,1,19,2,0
2020,1,19,2,2.253
2021,1,19,2,0
2022,1,19,2,14.066
2023,1,19,2,23.374
2024,1,19,2,9.203
1952,1,20,2,0
1953,1,20,2,0
1954,1,20,2,0
1955,1,20,2,0
1956,1,20,2,0
1957,1,20,2,0
1958,1,20,2,0
1959,1,20,2,0
1960,1,20,2,0
1961,1,20,2,0
1962,1,20,2,0
1963,1,20,2,0
1964,1,20,2,0
1965,1,20,2,0
1966,1,20,2,0
1967,1,20,2,0
1968,1,20,2,0
1969,1,20,2,0
1970,1,20,2,0.929
1971,1,20,2,0
1972,1,20,2,0
1973,1,20,2,0
1974,1,20,2,0
1975,1,20,2,0
1976,1,20,2,0
1977,1,20,2,1.23
1978,1,20,2,7.295
1979,1,20,2,2.169
1980,1,20,2,22.895
1981,1,20,2,0
1982,1,20,2,32.621
1983,1,20,2,69.865
1984,1,20,2,4.92
1985,1,20,2,11.238
1986,1,20,2,0.95
1987,1,20,2,14.441
1988,1,20,2,1.812
1989,1,20,2,11.082
1990,1,20,2,14.86
1991,1,20,2,99.716
1992,1,20,2,343.741
1993,1,20,2,0
1994,1,20,2,8.953
1995,1,20,2,3.164
1996,1,20,2,1.833
1997,1,20,2,90.503
1998,1,20,2,0
1999,1,20,2,40.389
2000,1,20,2,22.4
2001,1,20,2,21.884
2002,1,20,2,20.122
2003,1,20,2,36.446
2004,1,20,2,31.533
2005,1,20,2,31.594
2006,1,20,2,29.664
2007,1,20,2,41.392
2008,1,20,2,29.223
2009,1,20,2,25.31
2010,1,20,2,19.531
2011,1,20,2,46.471
2012,1,20,2,65.714
2013,1,20,2,56.193
2014,1,20,2,109.663
2015,1,20,2,90.085
2016,1,20,2,193.629
2017,1,20,2,178.01
2018,1,20,2,163.168
2019,1,20,2,46.654
2020,1,20,2,49.281
2021,1,20,2,51.677
2022,1,20,2,22.114
2023,1,20,2,49.15
2024,1,20,2,5.404
1952,1,21,2,0
